county,parents.lf.num,countyfp,Dem_Desc,edr,planning.region,mif,year,ccc.capacity,fcc.capacity
Benton,2461,009,Urban/town/rural mix,EDR 7W- Central,Central,EC,2000,431,1690
Benton,2461,009,Urban/town/rural mix,EDR 7W- Central,Central,EC,2001,435,1814
Benton,2461,009,Urban/town/rural mix,EDR 7W- Central,Central,EC,2002,437,1788
Benton,2461,009,Urban/town/rural mix,EDR 7W- Central,Central,EC,2003,435,1830
Benton,2461,009,Urban/town/rural mix,EDR 7W- Central,Central,EC,2004,486,1904
Benton,2461,009,Urban/town/rural mix,EDR 7W- Central,Central,EC,2005,511,1822
Benton,2461,009,Urban/town/rural mix,EDR 7W- Central,Central,EC,2006,548,1872
Benton,2461,009,Urban/town/rural mix,EDR 7W- Central,Central,EC,2007,566,1844
Benton,2461,009,Urban/town/rural mix,EDR 7W- Central,Central,EC,2008,598,1846
Benton,2461,009,Urban/town/rural mix,EDR 7W- Central,Central,EC,2009,618,1849
Benton,2461,009,Urban/town/rural mix,EDR 7W- Central,Central,EC,2010,608,1797
Benton,2461,009,Urban/town/rural mix,EDR 7W- Central,Central,EC,2011,582,1840
Benton,2461,009,Urban/town/rural mix,EDR 7W- Central,Central,EC,2012,541,1784
Benton,2461,009,Urban/town/rural mix,EDR 7W- Central,Central,EC,2013,520,1770
Benton,2461,009,Urban/town/rural mix,EDR 7W- Central,Central,EC,2014,634,1788
Benton,2461,009,Urban/town/rural mix,EDR 7W- Central,Central,EC,2015,634,1638
Benton,2461,009,Urban/town/rural mix,EDR 7W- Central,Central,EC,2016,678,1624
Benton,2461,009,Urban/town/rural mix,EDR 7W- Central,Central,EC,2017,745,1608
Benton,2461,009,Urban/town/rural mix,EDR 7W- Central,Central,EC,2018,656,1550
Benton,2461,009,Urban/town/rural mix,EDR 7W- Central,Central,EC,2019,700,1544
Benton,2461,009,Urban/town/rural mix,EDR 7W- Central,Central,EC,2020,565,1430
Cass,1262,021,Town/rural mix,EDR 5 - North Central,Northwest,EC,2000,205,636
Cass,1262,021,Town/rural mix,EDR 5 - North Central,Northwest,EC,2001,221,704
Cass,1262,021,Town/rural mix,EDR 5 - North Central,Northwest,EC,2002,221,784
Cass,1262,021,Town/rural mix,EDR 5 - North Central,Northwest,EC,2003,217,694
Cass,1262,021,Town/rural mix,EDR 5 - North Central,Northwest,EC,2004,185,650
Cass,1262,021,Town/rural mix,EDR 5 - North Central,Northwest,EC,2005,165,658
Cass,1262,021,Town/rural mix,EDR 5 - North Central,Northwest,EC,2006,165,586
Cass,1262,021,Town/rural mix,EDR 5 - North Central,Northwest,EC,2007,165,650
Cass,1262,021,Town/rural mix,EDR 5 - North Central,Northwest,EC,2008,206,710
Cass,1262,021,Town/rural mix,EDR 5 - North Central,Northwest,EC,2009,206,660
Cass,1262,021,Town/rural mix,EDR 5 - North Central,Northwest,EC,2010,146,696
Cass,1262,021,Town/rural mix,EDR 5 - North Central,Northwest,EC,2011,146,636
Cass,1262,021,Town/rural mix,EDR 5 - North Central,Northwest,EC,2012,146,606
Cass,1262,021,Town/rural mix,EDR 5 - North Central,Northwest,EC,2013,146,578
Cass,1262,021,Town/rural mix,EDR 5 - North Central,Northwest,EC,2014,146,640
Cass,1262,021,Town/rural mix,EDR 5 - North Central,Northwest,EC,2015,146,610
Cass,1262,021,Town/rural mix,EDR 5 - North Central,Northwest,EC,2016,146,544
Cass,1262,021,Town/rural mix,EDR 5 - North Central,Northwest,EC,2017,183,504
Cass,1262,021,Town/rural mix,EDR 5 - North Central,Northwest,EC,2018,178,394
Cass,1262,021,Town/rural mix,EDR 5 - North Central,Northwest,EC,2019,186,394
Cass,1262,021,Town/rural mix,EDR 5 - North Central,Northwest,EC,2020,194,388
Chisago,2856,025,Entirely urban,EDR 7E- East Central,Central,EC,2000,691,1482
Chisago,2856,025,Entirely urban,EDR 7E- East Central,Central,EC,2001,920,1482
Chisago,2856,025,Entirely urban,EDR 7E- East Central,Central,EC,2002,889,1388
Chisago,2856,025,Entirely urban,EDR 7E- East Central,Central,EC,2003,873,1560
Chisago,2856,025,Entirely urban,EDR 7E- East Central,Central,EC,2004,731,1686
Chisago,2856,025,Entirely urban,EDR 7E- East Central,Central,EC,2005,736,1610
Chisago,2856,025,Entirely urban,EDR 7E- East Central,Central,EC,2006,760,1524
Chisago,2856,025,Entirely urban,EDR 7E- East Central,Central,EC,2007,776,1580
Chisago,2856,025,Entirely urban,EDR 7E- East Central,Central,EC,2008,756,1692
Chisago,2856,025,Entirely urban,EDR 7E- East Central,Central,EC,2009,728,1588
Chisago,2856,025,Entirely urban,EDR 7E- East Central,Central,EC,2010,708,1493
Chisago,2856,025,Entirely urban,EDR 7E- East Central,Central,EC,2011,688,1451
Chisago,2856,025,Entirely urban,EDR 7E- East Central,Central,EC,2012,652,1267
Chisago,2856,025,Entirely urban,EDR 7E- East Central,Central,EC,2013,645,1287
Chisago,2856,025,Entirely urban,EDR 7E- East Central,Central,EC,2014,640,1194
Chisago,2856,025,Entirely urban,EDR 7E- East Central,Central,EC,2015,537,1062
Chisago,2856,025,Entirely urban,EDR 7E- East Central,Central,EC,2016,687,1006
Chisago,2856,025,Entirely urban,EDR 7E- East Central,Central,EC,2017,690,997
Chisago,2856,025,Entirely urban,EDR 7E- East Central,Central,EC,2018,711,864
Chisago,2856,025,Entirely urban,EDR 7E- East Central,Central,EC,2019,696,860
Chisago,2856,025,Entirely urban,EDR 7E- East Central,Central,EC,2020,677,814
Crow Wing,3434,035,Town/rural mix,EDR 5 - North Central,Northwest,EC,2000,505,2102
Crow Wing,3434,035,Town/rural mix,EDR 5 - North Central,Northwest,EC,2001,603,2208
Crow Wing,3434,035,Town/rural mix,EDR 5 - North Central,Northwest,EC,2002,607,2234
Crow Wing,3434,035,Town/rural mix,EDR 5 - North Central,Northwest,EC,2003,616,2156
Crow Wing,3434,035,Town/rural mix,EDR 5 - North Central,Northwest,EC,2004,722,2160
Crow Wing,3434,035,Town/rural mix,EDR 5 - North Central,Northwest,EC,2005,749,2170
Crow Wing,3434,035,Town/rural mix,EDR 5 - North Central,Northwest,EC,2006,895,2184
Crow Wing,3434,035,Town/rural mix,EDR 5 - North Central,Northwest,EC,2007,894,2120
Crow Wing,3434,035,Town/rural mix,EDR 5 - North Central,Northwest,EC,2008,884,2032
Crow Wing,3434,035,Town/rural mix,EDR 5 - North Central,Northwest,EC,2009,870,1980
Crow Wing,3434,035,Town/rural mix,EDR 5 - North Central,Northwest,EC,2010,833,1818
Crow Wing,3434,035,Town/rural mix,EDR 5 - North Central,Northwest,EC,2011,961,1746
Crow Wing,3434,035,Town/rural mix,EDR 5 - North Central,Northwest,EC,2012,866,1734
Crow Wing,3434,035,Town/rural mix,EDR 5 - North Central,Northwest,EC,2013,1041,1678
Crow Wing,3434,035,Town/rural mix,EDR 5 - North Central,Northwest,EC,2014,1084,1476
Crow Wing,3434,035,Town/rural mix,EDR 5 - North Central,Northwest,EC,2015,1086,1288
Crow Wing,3434,035,Town/rural mix,EDR 5 - North Central,Northwest,EC,2016,1132,1122
Crow Wing,3434,035,Town/rural mix,EDR 5 - North Central,Northwest,EC,2017,1233,1100
Crow Wing,3434,035,Town/rural mix,EDR 5 - North Central,Northwest,EC,2018,1238,1044
Crow Wing,3434,035,Town/rural mix,EDR 5 - North Central,Northwest,EC,2019,1233,1008
Crow Wing,3434,035,Town/rural mix,EDR 5 - North Central,Northwest,EC,2020,1286,1008
Isanti,2223,059,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2000,560,536
Isanti,2223,059,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2001,540,590
Isanti,2223,059,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2002,555,558
Isanti,2223,059,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2003,555,670
Isanti,2223,059,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2004,555,556
Isanti,2223,059,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2005,674,582
Isanti,2223,059,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2006,732,580
Isanti,2223,059,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2007,861,620
Isanti,2223,059,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2008,829,628
Isanti,2223,059,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2009,700,542
Isanti,2223,059,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2010,718,526
Isanti,2223,059,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2011,746,473
Isanti,2223,059,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2012,747,456
Isanti,2223,059,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2013,653,422
Isanti,2223,059,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2014,638,416
Isanti,2223,059,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2015,632,404
Isanti,2223,059,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2016,636,432
Isanti,2223,059,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2017,636,388
Isanti,2223,059,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2018,636,410
Isanti,2223,059,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2019,656,402
Isanti,2223,059,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2020,651,380
Kanabec,692,065,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2000,17,550
Kanabec,692,065,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2001,17,514
Kanabec,692,065,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2002,17,524
Kanabec,692,065,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2003,17,556
Kanabec,692,065,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2004,17,482
Kanabec,692,065,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2005,17,490
Kanabec,692,065,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2006,17,544
Kanabec,692,065,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2007,59,536
Kanabec,692,065,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2008,59,512
Kanabec,692,065,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2009,59,510
Kanabec,692,065,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2010,62,486
Kanabec,692,065,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2011,62,496
Kanabec,692,065,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2012,62,404
Kanabec,692,065,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2013,62,390
Kanabec,692,065,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2014,62,366
Kanabec,692,065,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2015,62,382
Kanabec,692,065,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2016,84,410
Kanabec,692,065,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2017,112,378
Kanabec,692,065,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2018,112,364
Kanabec,692,065,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2019,115,330
Kanabec,692,065,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2020,97,312
Mille Lacs,1327,095,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2000,78,820
Mille Lacs,1327,095,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2001,89,824
Mille Lacs,1327,095,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2002,104,760
Mille Lacs,1327,095,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2003,104,736
Mille Lacs,1327,095,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2004,104,704
Mille Lacs,1327,095,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2005,71,728
Mille Lacs,1327,095,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2006,183,880
Mille Lacs,1327,095,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2007,112,866
Mille Lacs,1327,095,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2008,199,816
Mille Lacs,1327,095,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2009,204,734
Mille Lacs,1327,095,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2010,265,706
Mille Lacs,1327,095,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2011,299,672
Mille Lacs,1327,095,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2012,299,632
Mille Lacs,1327,095,Urban/town/rural mix,EDR 7E- East Central,Central,EC,2013,299,524
