Month,years.effective,sales.tax.rate,city,year,local.sales.tax.revenue,County,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region,mif
January,2004-2020,0.05,Albert Lea,2004,-,Freeborn,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
February,2004-2020,0.05,Albert Lea,2004,-,Freeborn,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
March,2004-2020,0.05,Albert Lea,2004,-,Freeborn,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
April,2004-2020,0.05,Albert Lea,2004,-,Freeborn,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
May,2004-2020,0.05,Albert Lea,2004,-,Freeborn,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
June,2004-2020,0.05,Albert Lea,2004,-,Freeborn,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
July,2004-2020,0.05,Albert Lea,2004,-,Freeborn,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
August,2004-2020,0.05,Albert Lea,2004,-,Freeborn,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
September,2004-2020,0.05,Albert Lea,2004,-,Freeborn,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
October,2004-2020,0.05,Albert Lea,2004,-,Freeborn,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
November,2004-2020,0.05,Albert Lea,2004,-,Freeborn,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
December,2004-2020,0.05,Albert Lea,2004,-,Freeborn,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
Total,2004-2020,0.05,Albert Lea,2004,-,Freeborn,047,B,Town/rural mix,EDR 10 - Southeast,Southeast,SE
January,2004-2020,0.05,Austin,2004,-,Mower,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
February,2004-2020,0.05,Austin,2004,-,Mower,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
March,2004-2020,0.05,Austin,2004,-,Mower,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
April,2004-2020,0.05,Austin,2004,-,Mower,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
May,2004-2020,0.05,Austin,2004,-,Mower,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
June,2004-2020,0.05,Austin,2004,-,Mower,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
July,2004-2020,0.05,Austin,2004,-,Mower,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
August,2004-2020,0.05,Austin,2004,-,Mower,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
September,2004-2020,0.05,Austin,2004,-,Mower,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
October,2004-2020,0.05,Austin,2004,-,Mower,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
November,2004-2020,0.05,Austin,2004,-,Mower,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
December,2004-2020,0.05,Austin,2004,-,Mower,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
Total,2004-2020,0.05,Austin,2004,-,Mower,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast,SE
January,2004-2020,0.05,Avon,2004,-,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
February,2004-2020,0.05,Avon,2004,-,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
March,2004-2020,0.05,Avon,2004,-,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
April,2004-2020,0.05,Avon,2004,-,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
May,2004-2020,0.05,Avon,2004,-,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
June,2004-2020,0.05,Avon,2004,-,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
July,2004-2020,0.05,Avon,2004,-,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
August,2004-2020,0.05,Avon,2004,-,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
September,2004-2020,0.05,Avon,2004,-,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
October,2004-2020,0.05,Avon,2004,-,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
November,2004-2020,0.05,Avon,2004,-,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
December,2004-2020,0.05,Avon,2004,-,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
Total,2004-2020,0.05,Avon,2004,-,Stearns,145,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
January,2004-2020,0.05,Baxter,2004,-,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
February,2004-2020,0.05,Baxter,2004,-,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
March,2004-2020,0.05,Baxter,2004,-,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
April,2004-2020,0.05,Baxter,2004,-,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
May,2004-2020,0.05,Baxter,2004,-,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
June,2004-2020,0.05,Baxter,2004,-,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
July,2004-2020,0.05,Baxter,2004,-,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
August,2004-2020,0.05,Baxter,2004,-,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
September,2004-2020,0.05,Baxter,2004,-,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
October,2004-2020,0.05,Baxter,2004,-,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
November,2004-2020,0.05,Baxter,2004,-,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
December,2004-2020,0.05,Baxter,2004,-,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
Total,2004-2020,0.05,Baxter,2004,-,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
January,2004-2020,0.05,Bemidji,2004,-,Beltrami,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
February,2004-2020,0.05,Bemidji,2004,-,Beltrami,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
March,2004-2020,0.05,Bemidji,2004,-,Beltrami,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
April,2004-2020,0.05,Bemidji,2004,-,Beltrami,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
May,2004-2020,0.05,Bemidji,2004,-,Beltrami,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
June,2004-2020,0.05,Bemidji,2004,-,Beltrami,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
July,2004-2020,0.05,Bemidji,2004,-,Beltrami,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
August,2004-2020,0.05,Bemidji,2004,-,Beltrami,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
September,2004-2020,0.05,Bemidji,2004,-,Beltrami,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
October,2004-2020,0.05,Bemidji,2004,-,Beltrami,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
November,2004-2020,0.05,Bemidji,2004,-,Beltrami,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
December,2004-2020,0.05,Bemidji,2004,-,Beltrami,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
Total,2004-2020,0.05,Bemidji,2004,-,Beltrami,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
January,2004-2020,0.05,Blue Earth,2004,-,Faribault,043,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
February,2004-2020,0.05,Blue Earth,2004,-,Faribault,043,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
March,2004-2020,0.05,Blue Earth,2004,-,Faribault,043,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
April,2004-2020,0.05,Blue Earth,2004,-,Faribault,043,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
May,2004-2020,0.05,Blue Earth,2004,-,Faribault,043,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
June,2004-2020,0.05,Blue Earth,2004,-,Faribault,043,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
July,2004-2020,0.05,Blue Earth,2004,-,Faribault,043,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
August,2004-2020,0.05,Blue Earth,2004,-,Faribault,043,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
September,2004-2020,0.05,Blue Earth,2004,-,Faribault,043,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
October,2004-2020,0.05,Blue Earth,2004,-,Faribault,043,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
November,2004-2020,0.05,Blue Earth,2004,-,Faribault,043,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
December,2004-2020,0.05,Blue Earth,2004,-,Faribault,043,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
Total,2004-2020,0.05,Blue Earth,2004,-,Faribault,043,B,Town/rural mix,EDR 9 - South Central,Southwest,SE
January,2004-2020,0.05,Brainerd,2004,-,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
February,2004-2020,0.05,Brainerd,2004,-,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
March,2004-2020,0.05,Brainerd,2004,-,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
April,2004-2020,0.05,Brainerd,2004,-,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
May,2004-2020,0.05,Brainerd,2004,-,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
June,2004-2020,0.05,Brainerd,2004,-,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
July,2004-2020,0.05,Brainerd,2004,-,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
August,2004-2020,0.05,Brainerd,2004,-,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
September,2004-2020,0.05,Brainerd,2004,-,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
October,2004-2020,0.05,Brainerd,2004,-,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
November,2004-2020,0.05,Brainerd,2004,-,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
December,2004-2020,0.05,Brainerd,2004,-,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
Total,2004-2020,0.05,Brainerd,2004,-,Crow Wing,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC
January,2004-2020,0.05,Cambridge,2004,-,Isanti,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
February,2004-2020,0.05,Cambridge,2004,-,Isanti,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
March,2004-2020,0.05,Cambridge,2004,-,Isanti,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
April,2004-2020,0.05,Cambridge,2004,-,Isanti,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
May,2004-2020,0.05,Cambridge,2004,-,Isanti,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
June,2004-2020,0.05,Cambridge,2004,-,Isanti,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
July,2004-2020,0.05,Cambridge,2004,-,Isanti,059,C,Urban/town/rural mix,EDR 7E- East Central,Central,EC
