Month,County,Tax Rate,Year Imposed,year,local.sales.tax.revenue,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region,MIF Region
January,Anoka,2.5000000000000001E-3,2017,2004,-,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
February,Anoka,2.5000000000000001E-3,2017,2004,-,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
March,Anoka,2.5000000000000001E-3,2017,2004,-,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
April,Anoka,2.5000000000000001E-3,2017,2004,-,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
May,Anoka,2.5000000000000001E-3,2017,2004,-,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
June,Anoka,2.5000000000000001E-3,2017,2004,-,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
July,Anoka,2.5000000000000001E-3,2017,2004,-,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
August,Anoka,2.5000000000000001E-3,2017,2004,-,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
September,Anoka,2.5000000000000001E-3,2017,2004,-,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
October,Anoka,2.5000000000000001E-3,2017,2004,-,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
November,Anoka,2.5000000000000001E-3,2017,2004,-,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
December,Anoka,2.5000000000000001E-3,2017,2004,-,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
Total,Anoka,2.5000000000000001E-3,2017,2004,-,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,NA
January,Becker,5.0000000000000001E-3,2014,2004,-,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
February,Becker,5.0000000000000001E-3,2014,2004,-,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
March,Becker,5.0000000000000001E-3,2014,2004,-,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
April,Becker,5.0000000000000001E-3,2014,2004,-,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
May,Becker,5.0000000000000001E-3,2014,2004,-,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
June,Becker,5.0000000000000001E-3,2014,2004,-,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
July,Becker,5.0000000000000001E-3,2014,2004,-,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
August,Becker,5.0000000000000001E-3,2014,2004,-,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
September,Becker,5.0000000000000001E-3,2014,2004,-,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
October,Becker,5.0000000000000001E-3,2014,2004,-,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
November,Becker,5.0000000000000001E-3,2014,2004,-,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
December,Becker,5.0000000000000001E-3,2014,2004,-,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
Total,Becker,5.0000000000000001E-3,2014,2004,-,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
January,Beltrami,5.0000000000000001E-3,2014,2004,-,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
February,Beltrami,5.0000000000000001E-3,2014,2004,-,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
March,Beltrami,5.0000000000000001E-3,2014,2004,-,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
April,Beltrami,5.0000000000000001E-3,2014,2004,-,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
May,Beltrami,5.0000000000000001E-3,2014,2004,-,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
June,Beltrami,5.0000000000000001E-3,2014,2004,-,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
