GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALT1E001,ALT1E002,ALT1E003,NAME_M,ALT1M001,ALT1M002,ALT1M003
G0100010,2015-2019,AL,,,Alabama,1,Autauga County,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01001,,,"Autauga County, Alabama",38.2,36.9,39.8,"Autauga County, Alabama",0.6,0.7,0.6
G0100030,2015-2019,AL,,,Alabama,1,Baldwin County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01003,,,"Baldwin County, Alabama",43,41.8,44.4,"Baldwin County, Alabama",0.3,0.4,0.2
G0100050,2015-2019,AL,,,Alabama,1,Barbour County,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01005,,,"Barbour County, Alabama",40.4,38.7,43.3,"Barbour County, Alabama",0.5,0.8,0.6
G0100070,2015-2019,AL,,,Alabama,1,Bibb County,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01007,,,"Bibb County, Alabama",40.9,38.5,43.8,"Bibb County, Alabama",1.3,1.6,2.1
G0100090,2015-2019,AL,,,Alabama,1,Blount County,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01009,,,"Blount County, Alabama",40.7,40.1,41.5,"Blount County, Alabama",0.3,0.7,0.6
G0100110,2015-2019,AL,,,Alabama,1,Bullock County,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01011,,,"Bullock County, Alabama",40.2,38.5,42.4,"Bullock County, Alabama",2.3,3.1,0.9
G0100130,2015-2019,AL,,,Alabama,1,Butler County,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01013,,,"Butler County, Alabama",40.8,39.1,42.7,"Butler County, Alabama",0.7,1,1.4
G0100150,2015-2019,AL,,,Alabama,1,Calhoun County,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01015,,,"Calhoun County, Alabama",39.6,37.9,41.1,"Calhoun County, Alabama",0.3,0.6,0.4
G0100170,2015-2019,AL,,,Alabama,1,Chambers County,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01017,,,"Chambers County, Alabama",42,40.4,43.7,"Chambers County, Alabama",0.7,1.1,0.4
G0100190,2015-2019,AL,,,Alabama,1,Cherokee County,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01019,,,"Cherokee County, Alabama",46.5,45.6,47,"Cherokee County, Alabama",0.5,0.8,0.8
G0100210,2015-2019,AL,,,Alabama,1,Chilton County,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01021,,,"Chilton County, Alabama",38.7,38.1,39.9,"Chilton County, Alabama",0.7,0.9,1.4
G0100230,2015-2019,AL,,,Alabama,1,Choctaw County,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01023,,,"Choctaw County, Alabama",46.3,43.8,48.1,"Choctaw County, Alabama",0.3,1.3,0.8
G0100250,2015-2019,AL,,,Alabama,1,Clarke County,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01025,,,"Clarke County, Alabama",42.5,41,43.4,"Clarke County, Alabama",0.8,0.9,0.4
G0100270,2015-2019,AL,,,Alabama,1,Clay County,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01027,,,"Clay County, Alabama",43.3,42.7,44.3,"Clay County, Alabama",0.8,2.2,1
G0100290,2015-2019,AL,,,Alabama,1,Cleburne County,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01029,,,"Cleburne County, Alabama",43.1,42.2,44.5,"Cleburne County, Alabama",0.8,1.1,0.6
G0100310,2015-2019,AL,,,Alabama,1,Coffee County,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01031,,,"Coffee County, Alabama",39.3,38.1,40.5,"Coffee County, Alabama",0.3,0.7,0.4
G0100330,2015-2019,AL,,,Alabama,1,Colbert County,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01033,,,"Colbert County, Alabama",42.4,40.4,44.6,"Colbert County, Alabama",0.4,0.7,0.4
G0100350,2015-2019,AL,,,Alabama,1,Conecuh County,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01035,,,"Conecuh County, Alabama",44.8,42.2,47.2,"Conecuh County, Alabama",0.3,3.4,1.7
G0100370,2015-2019,AL,,,Alabama,1,Coosa County,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01037,,,"Coosa County, Alabama",48.4,46.7,49.8,"Coosa County, Alabama",1,0.8,0.5
G0100390,2015-2019,AL,,,Alabama,1,Covington County,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01039,,,"Covington County, Alabama",43.3,41.5,44.9,"Covington County, Alabama",0.5,0.7,0.2
G0100410,2015-2019,AL,,,Alabama,1,Crenshaw County,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01041,,,"Crenshaw County, Alabama",41.7,39.5,43.9,"Crenshaw County, Alabama",0.8,0.7,0.6
G0100430,2015-2019,AL,,,Alabama,1,Cullman County,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01043,,,"Cullman County, Alabama",40.8,39.8,42.2,"Cullman County, Alabama",0.3,0.6,0.4
G0100450,2015-2019,AL,,,Alabama,1,Dale County,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01045,,,"Dale County, Alabama",37.3,35.6,39.5,"Dale County, Alabama",0.5,0.3,0.6
G0100470,2015-2019,AL,,,Alabama,1,Dallas County,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01047,,,"Dallas County, Alabama",39.6,38,40.3,"Dallas County, Alabama",0.4,1.1,0.7
G0100490,2015-2019,AL,,,Alabama,1,DeKalb County,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01049,,,"DeKalb County, Alabama",39.5,38.7,39.9,"DeKalb County, Alabama",0.4,1.1,0.6
G0100510,2015-2019,AL,,,Alabama,1,Elmore County,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01051,,,"Elmore County, Alabama",38.7,38,40.1,"Elmore County, Alabama",0.3,0.4,0.8
G0100530,2015-2019,AL,,,Alabama,1,Escambia County,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01053,,,"Escambia County, Alabama",40,38.3,41.2,"Escambia County, Alabama",0.5,0.7,0.7
G0100550,2015-2019,AL,,,Alabama,1,Etowah County,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01055,,,"Etowah County, Alabama",41.4,39.9,43,"Etowah County, Alabama",0.3,0.5,0.4
G0100570,2015-2019,AL,,,Alabama,1,Fayette County,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01057,,,"Fayette County, Alabama",43.7,41.7,45.5,"Fayette County, Alabama",0.6,0.6,1.5
G0100590,2015-2019,AL,,,Alabama,1,Franklin County,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01059,,,"Franklin County, Alabama",38.6,35.4,40.9,"Franklin County, Alabama",2.1,2.2,0.9
G0100610,2015-2019,AL,,,Alabama,1,Geneva County,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01061,,,"Geneva County, Alabama",43.2,42,44.8,"Geneva County, Alabama",0.6,1.4,0.8
G0100630,2015-2019,AL,,,Alabama,1,Greene County,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01063,,,"Greene County, Alabama",40.9,36.6,45.3,"Greene County, Alabama",3,2.9,2.2
G0100650,2015-2019,AL,,,Alabama,1,Hale County,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01065,,,"Hale County, Alabama",40.5,38.1,42.4,"Hale County, Alabama",1.8,1.7,0.8
G0100670,2015-2019,AL,,,Alabama,1,Henry County,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01067,,,"Henry County, Alabama",44.4,42.1,46.2,"Henry County, Alabama",0.4,1.5,0.6
G0100690,2015-2019,AL,,,Alabama,1,Houston County,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01069,,,"Houston County, Alabama",40.1,38,41.8,"Houston County, Alabama",0.2,0.3,0.3
G0100710,2015-2019,AL,,,Alabama,1,Jackson County,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01071,,,"Jackson County, Alabama",43.1,41.5,44.7,"Jackson County, Alabama",0.4,0.8,0.4
G0100730,2015-2019,AL,,,Alabama,1,Jefferson County,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01073,,,"Jefferson County, Alabama",37.7,36,39.3,"Jefferson County, Alabama",0.2,0.1,0.2
G0100750,2015-2019,AL,,,Alabama,1,Lamar County,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01075,,,"Lamar County, Alabama",44.8,44.2,46.1,"Lamar County, Alabama",0.3,1.5,0.7
G0100770,2015-2019,AL,,,Alabama,1,Lauderdale County,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01077,,,"Lauderdale County, Alabama",41,38.5,43.2,"Lauderdale County, Alabama",0.5,0.6,0.4
G0100790,2015-2019,AL,,,Alabama,1,Lawrence County,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01079,,,"Lawrence County, Alabama",42.4,41.2,43.3,"Lawrence County, Alabama",0.4,1.1,0.6
G0100810,2015-2019,AL,,,Alabama,1,Lee County,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01081,,,"Lee County, Alabama",31.9,30.4,33.2,"Lee County, Alabama",0.2,0.1,0.3
G0100830,2015-2019,AL,,,Alabama,1,Limestone County,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01083,,,"Limestone County, Alabama",39.7,38.7,40.7,"Limestone County, Alabama",0.4,0.4,0.5
G0100850,2015-2019,AL,,,Alabama,1,Lowndes County,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01085,,,"Lowndes County, Alabama",42,39.4,44.4,"Lowndes County, Alabama",1.1,1.4,1.5
G0100870,2015-2019,AL,,,Alabama,1,Macon County,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01087,,,"Macon County, Alabama",38.6,37.3,40.3,"Macon County, Alabama",0.6,1,1.2
G0100890,2015-2019,AL,,,Alabama,1,Madison County,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01089,,,"Madison County, Alabama",38.5,37,40,"Madison County, Alabama",0.2,0.2,0.3
G0100910,2015-2019,AL,,,Alabama,1,Marengo County,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01091,,,"Marengo County, Alabama",42.2,38.9,43.7,"Marengo County, Alabama",0.7,1.3,0.5
G0100930,2015-2019,AL,,,Alabama,1,Marion County,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01093,,,"Marion County, Alabama",44.3,42.9,45.6,"Marion County, Alabama",0.4,0.9,0.6
G0100950,2015-2019,AL,,,Alabama,1,Marshall County,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01095,,,"Marshall County, Alabama",38.8,36.8,40.2,"Marshall County, Alabama",0.4,0.4,0.5
G0100970,2015-2019,AL,,,Alabama,1,Mobile County,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01097,,,"Mobile County, Alabama",37.9,36.3,39.1,"Mobile County, Alabama",0.2,0.2,0.3
G0100990,2015-2019,AL,,,Alabama,1,Monroe County,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01099,,,"Monroe County, Alabama",43.3,41.7,44.2,"Monroe County, Alabama",0.5,1.8,1
G0101010,2015-2019,AL,,,Alabama,1,Montgomery County,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01101,,,"Montgomery County, Alabama",36.4,34.5,38.1,"Montgomery County, Alabama",0.3,0.2,0.3
G0101030,2015-2019,AL,,,Alabama,1,Morgan County,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01103,,,"Morgan County, Alabama",40.6,39.2,42.3,"Morgan County, Alabama",0.3,0.4,0.4
G0101050,2015-2019,AL,,,Alabama,1,Perry County,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01105,,,"Perry County, Alabama",36.9,35.5,38.6,"Perry County, Alabama",1.4,2.6,0.5
G0101070,2015-2019,AL,,,Alabama,1,Pickens County,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01107,,,"Pickens County, Alabama",42.2,39,44.2,"Pickens County, Alabama",0.7,1.6,0.6
G0101090,2015-2019,AL,,,Alabama,1,Pike County,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01109,,,"Pike County, Alabama",31.2,29.2,33.2,"Pike County, Alabama",0.7,0.7,0.8
G0101110,2015-2019,AL,,,Alabama,1,Randolph County,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01111,,,"Randolph County, Alabama",43.4,42.4,44.9,"Randolph County, Alabama",0.4,0.9,0.6
G0101130,2015-2019,AL,,,Alabama,1,Russell County,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01113,,,"Russell County, Alabama",36.3,35.3,38.4,"Russell County, Alabama",0.4,0.3,0.9
G0101150,2015-2019,AL,,,Alabama,1,St. Clair County,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01115,,,"St. Clair County, Alabama",40.3,39.2,41.8,"St. Clair County, Alabama",0.4,0.6,0.6
G0101170,2015-2019,AL,,,Alabama,1,Shelby County,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01117,,,"Shelby County, Alabama",39.3,38.3,40.2,"Shelby County, Alabama",0.3,0.3,0.2
G0101190,2015-2019,AL,,,Alabama,1,Sumter County,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01119,,,"Sumter County, Alabama",35.6,32.4,38.3,"Sumter County, Alabama",0.3,2.3,1.6
G0101210,2015-2019,AL,,,Alabama,1,Talladega County,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01121,,,"Talladega County, Alabama",41.3,40.4,42.1,"Talladega County, Alabama",0.4,0.6,0.5
G0101230,2015-2019,AL,,,Alabama,1,Tallapoosa County,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01123,,,"Tallapoosa County, Alabama",44.7,42.6,45.9,"Tallapoosa County, Alabama",0.3,0.3,0.5
G0101250,2015-2019,AL,,,Alabama,1,Tuscaloosa County,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01125,,,"Tuscaloosa County, Alabama",33,31.7,34.3,"Tuscaloosa County, Alabama",0.2,0.3,0.2
G0101270,2015-2019,AL,,,Alabama,1,Walker County,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01127,,,"Walker County, Alabama",42.1,39.5,43.9,"Walker County, Alabama",0.5,0.6,0.4
G0101290,2015-2019,AL,,,Alabama,1,Washington County,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01129,,,"Washington County, Alabama",43.7,43,44.6,"Washington County, Alabama",0.6,1.4,2.4
G0101310,2015-2019,AL,,,Alabama,1,Wilcox County,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01131,,,"Wilcox County, Alabama",40.5,38.6,42.1,"Wilcox County, Alabama",1,1.8,1.2
G0101330,2015-2019,AL,,,Alabama,1,Winston County,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US01133,,,"Winston County, Alabama",45.2,44.1,46,"Winston County, Alabama",0.3,0.8,0.5
G0200130,2015-2019,AK,,,Alaska,2,Aleutians East Borough,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02013,,,"Aleutians East Borough, Alaska",42.5,41.1,46.5,"Aleutians East Borough, Alaska",1.5,2.2,3.8
G0200160,2015-2019,AK,,,Alaska,2,Aleutians West Census Area,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02016,,,"Aleutians West Census Area, Alaska",38.6,39.1,37.9,"Aleutians West Census Area, Alaska",1.7,2.3,2.2
G0200200,2015-2019,AK,,,Alaska,2,Anchorage Municipality,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02020,,,"Anchorage Municipality, Alaska",33.6,32.7,34.6,"Anchorage Municipality, Alaska",0.1,0.2,0.1
G0200500,2015-2019,AK,,,Alaska,2,Bethel Census Area,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02050,,,"Bethel Census Area, Alaska",27.3,27.7,26.8,"Bethel Census Area, Alaska",0.5,0.9,0.6
G0200600,2015-2019,AK,,,Alaska,2,Bristol Bay Borough,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02060,,,"Bristol Bay Borough, Alaska",42.9,44.1,42.5,"Bristol Bay Borough, Alaska",5.9,7.3,6
G0200680,2015-2019,AK,,,Alaska,2,Denali Borough,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02068,,,"Denali Borough, Alaska",42.1,44,37.7,"Denali Borough, Alaska",8.3,8.2,4.8
G0200700,2015-2019,AK,,,Alaska,2,Dillingham Census Area,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02070,,,"Dillingham Census Area, Alaska",30.2,30.9,29.2,"Dillingham Census Area, Alaska",0.4,0.6,0.8
G0200900,2015-2019,AK,,,Alaska,2,Fairbanks North Star Borough,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02090,,,"Fairbanks North Star Borough, Alaska",31.3,30.5,32,"Fairbanks North Star Borough, Alaska",0.3,0.3,0.4
G0201000,2015-2019,AK,,,Alaska,2,Haines Borough,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02100,,,"Haines Borough, Alaska",44.7,45.6,39,"Haines Borough, Alaska",6.7,12.2,14.4
G0201050,2015-2019,AK,,,Alaska,2,Hoonah-Angoon Census Area,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02105,,,"Hoonah-Angoon Census Area, Alaska",49.6,49.8,49.4,"Hoonah-Angoon Census Area, Alaska",3.4,2.7,6
G0201100,2015-2019,AK,,,Alaska,2,Juneau City and Borough,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02110,,,"Juneau City and Borough, Alaska",38.1,37.6,38.4,"Juneau City and Borough, Alaska",0.4,0.9,0.7
G0201220,2015-2019,AK,,,Alaska,2,Kenai Peninsula Borough,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02122,,,"Kenai Peninsula Borough, Alaska",40.8,40.3,41.3,"Kenai Peninsula Borough, Alaska",0.4,0.7,0.5
G0201300,2015-2019,AK,,,Alaska,2,Ketchikan Gateway Borough,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02130,,,"Ketchikan Gateway Borough, Alaska",39.7,39.1,40.2,"Ketchikan Gateway Borough, Alaska",0.5,0.6,0.6
G0201500,2015-2019,AK,,,Alaska,2,Kodiak Island Borough,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US02150,,,"Kodiak Island Borough, Alaska",33.9,33.8,34.1,"Kodiak Island Borough, Alaska",0.6,0.8,1.7
