countyfp,key,value,quarter,year.quarter,Name,Dem_Desc,edr,planning.region,mif
001,avgemp,3854,1,2021.1,Aitkin,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
001,avgemp,4049,1,2020.1,Aitkin,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
001,avgemp,3955,1,2019.1,Aitkin,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
001,avgemp,3901,1,2018.1,Aitkin,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
001,avgemp,3921,1,2017.1,Aitkin,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
001,avgemp,3685,1,2016.1,Aitkin,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
001,avgemp,3569,1,2015.1,Aitkin,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
001,avgemp,3539,1,2014.1,Aitkin,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
001,avgemp,3491,1,2013.1,Aitkin,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
001,avgemp,3426,1,2012.1,Aitkin,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
003,avgemp,120444,1,2021.1,Anoka,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
003,avgemp,127364,1,2020.1,Anoka,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
003,avgemp,125579,1,2019.1,Anoka,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
003,avgemp,122785,1,2018.1,Anoka,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
003,avgemp,120541,1,2017.1,Anoka,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
003,avgemp,118643,1,2016.1,Anoka,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
003,avgemp,116193,1,2015.1,Anoka,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
003,avgemp,114506,1,2014.1,Anoka,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
003,avgemp,111600,1,2013.1,Anoka,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
003,avgemp,108201,1,2012.1,Anoka,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
005,avgemp,13703,1,2021.1,Becker,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
005,avgemp,14332,1,2020.1,Becker,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
005,avgemp,14045,1,2019.1,Becker,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
005,avgemp,13837,1,2018.1,Becker,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
005,avgemp,13748,1,2017.1,Becker,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
005,avgemp,13836,1,2016.1,Becker,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
005,avgemp,13546,1,2015.1,Becker,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
005,avgemp,13123,1,2014.1,Becker,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
005,avgemp,13104,1,2013.1,Becker,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
005,avgemp,12811,1,2012.1,Becker,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
007,avgemp,18972,1,2021.1,Beltrami,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
007,avgemp,19894,1,2020.1,Beltrami,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
007,avgemp,19711,1,2019.1,Beltrami,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
007,avgemp,19428,1,2018.1,Beltrami,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
007,avgemp,18872,1,2017.1,Beltrami,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
007,avgemp,18803,1,2016.1,Beltrami,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
007,avgemp,18452,1,2015.1,Beltrami,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
007,avgemp,18180,1,2014.1,Beltrami,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
007,avgemp,17749,1,2013.1,Beltrami,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
007,avgemp,17278,1,2012.1,Beltrami,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
009,avgemp,16532,1,2021.1,Benton,Urban/town/rural mix,EDR 7W- Central,Central,EC
009,avgemp,16983,1,2020.1,Benton,Urban/town/rural mix,EDR 7W- Central,Central,EC
009,avgemp,16964,1,2019.1,Benton,Urban/town/rural mix,EDR 7W- Central,Central,EC
009,avgemp,16540,1,2018.1,Benton,Urban/town/rural mix,EDR 7W- Central,Central,EC
009,avgemp,17022,1,2017.1,Benton,Urban/town/rural mix,EDR 7W- Central,Central,EC
009,avgemp,16378,1,2016.1,Benton,Urban/town/rural mix,EDR 7W- Central,Central,EC
009,avgemp,16296,1,2015.1,Benton,Urban/town/rural mix,EDR 7W- Central,Central,EC
009,avgemp,16425,1,2014.1,Benton,Urban/town/rural mix,EDR 7W- Central,Central,EC
009,avgemp,16066,1,2013.1,Benton,Urban/town/rural mix,EDR 7W- Central,Central,EC
009,avgemp,15507,1,2012.1,Benton,Urban/town/rural mix,EDR 7W- Central,Central,EC
011,avgemp,1591,1,2021.1,Big Stone,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,SW
011,avgemp,1682,1,2020.1,Big Stone,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,SW
011,avgemp,1615,1,2019.1,Big Stone,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,SW
011,avgemp,1603,1,2018.1,Big Stone,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,SW
011,avgemp,1670,1,2017.1,Big Stone,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,SW
011,avgemp,1728,1,2016.1,Big Stone,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,SW
011,avgemp,1674,1,2015.1,Big Stone,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,SW
011,avgemp,1636,1,2014.1,Big Stone,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,SW
011,avgemp,1659,1,2013.1,Big Stone,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,SW
011,avgemp,1846,1,2012.1,Big Stone,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,SW
013,avgemp,37269,1,2021.1,Blue Earth,Entirely urban,EDR 9 - South Central,Southwest,SE
013,avgemp,39969,1,2020.1,Blue Earth,Entirely urban,EDR 9 - South Central,Southwest,SE
013,avgemp,39715,1,2019.1,Blue Earth,Entirely urban,EDR 9 - South Central,Southwest,SE
013,avgemp,39707,1,2018.1,Blue Earth,Entirely urban,EDR 9 - South Central,Southwest,SE
013,avgemp,39888,1,2017.1,Blue Earth,Entirely urban,EDR 9 - South Central,Southwest,SE
013,avgemp,39484,1,2016.1,Blue Earth,Entirely urban,EDR 9 - South Central,Southwest,SE
013,avgemp,37948,1,2015.1,Blue Earth,Entirely urban,EDR 9 - South Central,Southwest,SE
013,avgemp,37723,1,2014.1,Blue Earth,Entirely urban,EDR 9 - South Central,Southwest,SE
013,avgemp,37401,1,2013.1,Blue Earth,Entirely urban,EDR 9 - South Central,Southwest,SE
013,avgemp,37058,1,2012.1,Blue Earth,Entirely urban,EDR 9 - South Central,Southwest,SE
015,avgemp,12615,1,2021.1,Brown,Town/rural mix,EDR 9 - South Central,Southwest,SE
015,avgemp,13591,1,2020.1,Brown,Town/rural mix,EDR 9 - South Central,Southwest,SE
015,avgemp,13558,1,2019.1,Brown,Town/rural mix,EDR 9 - South Central,Southwest,SE
015,avgemp,13806,1,2018.1,Brown,Town/rural mix,EDR 9 - South Central,Southwest,SE
015,avgemp,13618,1,2017.1,Brown,Town/rural mix,EDR 9 - South Central,Southwest,SE
015,avgemp,13439,1,2016.1,Brown,Town/rural mix,EDR 9 - South Central,Southwest,SE
015,avgemp,13304,1,2015.1,Brown,Town/rural mix,EDR 9 - South Central,Southwest,SE
015,avgemp,13148,1,2014.1,Brown,Town/rural mix,EDR 9 - South Central,Southwest,SE
015,avgemp,13437,1,2013.1,Brown,Town/rural mix,EDR 9 - South Central,Southwest,SE
015,avgemp,12912,1,2012.1,Brown,Town/rural mix,EDR 9 - South Central,Southwest,SE
017,avgemp,12207,1,2021.1,Carlton,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
017,avgemp,12970,1,2020.1,Carlton,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
017,avgemp,12882,1,2019.1,Carlton,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
017,avgemp,13151,1,2018.1,Carlton,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
017,avgemp,13329,1,2017.1,Carlton,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
017,avgemp,13137,1,2016.1,Carlton,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
017,avgemp,13317,1,2015.1,Carlton,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
017,avgemp,13213,1,2014.1,Carlton,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
017,avgemp,13007,1,2013.1,Carlton,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
017,avgemp,12690,1,2012.1,Carlton,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE
019,avgemp,36524,1,2021.1,Carver,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
019,avgemp,39439,1,2020.1,Carver,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
019,avgemp,39387,1,2019.1,Carver,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
019,avgemp,39030,1,2018.1,Carver,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
019,avgemp,37642,1,2017.1,Carver,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
019,avgemp,36531,1,2016.1,Carver,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
019,avgemp,36363,1,2015.1,Carver,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
019,avgemp,35164,1,2014.1,Carver,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
019,avgemp,33491,1,2013.1,Carver,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
