periodyear,edr,key,value,quarter,year.quarter,planning.region
2021,EDR 1 - Northwest,avgemp,34338,1,2021.1,Northwest
2020,EDR 1 - Northwest,avgemp,35428,1,2020.1,Northwest
2019,EDR 1 - Northwest,avgemp,35777,1,2019.1,Northwest
2018,EDR 1 - Northwest,avgemp,35980,1,2018.1,Northwest
2017,EDR 1 - Northwest,avgemp,36166,1,2017.1,Northwest
2016,EDR 1 - Northwest,avgemp,36456,1,2016.1,Northwest
2015,EDR 1 - Northwest,avgemp,36804,1,2015.1,Northwest
2014,EDR 1 - Northwest,avgemp,36485,1,2014.1,Northwest
2013,EDR 1 - Northwest,avgemp,36043,1,2013.1,Northwest
2012,EDR 1 - Northwest,avgemp,35603,1,2012.1,Northwest
2021,EDR 2 - Headwaters,avgemp,30011,1,2021.1,Northwest
2020,EDR 2 - Headwaters,avgemp,31616,1,2020.1,Northwest
2019,EDR 2 - Headwaters,avgemp,31556,1,2019.1,Northwest
2018,EDR 2 - Headwaters,avgemp,31275,1,2018.1,Northwest
2017,EDR 2 - Headwaters,avgemp,30728,1,2017.1,Northwest
2016,EDR 2 - Headwaters,avgemp,30480,1,2016.1,Northwest
2015,EDR 2 - Headwaters,avgemp,29863,1,2015.1,Northwest
2014,EDR 2 - Headwaters,avgemp,29488,1,2014.1,Northwest
2013,EDR 2 - Headwaters,avgemp,29044,1,2013.1,Northwest
2012,EDR 2 - Headwaters,avgemp,28228,1,2012.1,Northwest
2021,EDR 3 - Arrowhead,avgemp,129155,1,2021.1,Northeast
2020,EDR 3 - Arrowhead,avgemp,139919,1,2020.1,Northeast
2019,EDR 3 - Arrowhead,avgemp,140549,1,2019.1,Northeast
2018,EDR 3 - Arrowhead,avgemp,140336,1,2018.1,Northeast
2017,EDR 3 - Arrowhead,avgemp,139893,1,2017.1,Northeast
2016,EDR 3 - Arrowhead,avgemp,137849,1,2016.1,Northeast
2015,EDR 3 - Arrowhead,avgemp,138980,1,2015.1,Northeast
