periodyear,areaname,key,value,quarter,year.quarter
2021,Minnesota,avgemp,2684791,1,2021.1
2020,Minnesota,avgemp,2856066,1,2020.1
2019,Minnesota,avgemp,2842776,1,2019.1
2018,Minnesota,avgemp,2825050,1,2018.1
2017,Minnesota,avgemp,2795269,1,2017.1
2016,Minnesota,avgemp,2742796,1,2016.1
2015,Minnesota,avgemp,2699574,1,2015.1
2014,Minnesota,avgemp,2657257,1,2014.1
2013,Minnesota,avgemp,2623739,1,2013.1
2012,Minnesota,avgemp,2572720,1,2012.1
2011,Minnesota,avgemp,2530056,1,2011.1
2010,Minnesota,avgemp,2490782,1,2010.1
2009,Minnesota,avgemp,2556978,1,2009.1
2008,Minnesota,avgemp,2638356,1,2008.1
2007,Minnesota,avgemp,2626550,1,2007.1
2006,Minnesota,avgemp,2620179,1,2006.1
2005,Minnesota,avgemp,2554911,1,2005.1
2004,Minnesota,avgemp,2525308,1,2004.1
2003,Minnesota,avgemp,2526446,1,2003.1
2002,Minnesota,avgemp,2534598,1,2002.1
2001,Minnesota,avgemp,2578589,1,2001.1
2021,Minnesota,avgemp,2781326,2,2021.2
2020,Minnesota,avgemp,2560820,2,2020.2
2019,Minnesota,avgemp,2919269,2,2019.2
2018,Minnesota,avgemp,2893888,2,2018.2
2017,Minnesota,avgemp,2870041,2,2017.2
2016,Minnesota,avgemp,2828417,2,2016.2
2015,Minnesota,avgemp,2795030,2,2015.2
2014,Minnesota,avgemp,2745999,2,2014.2
2013,Minnesota,avgemp,2705772,2,2013.2
2012,Minnesota,avgemp,2663790,2,2012.2
2011,Minnesota,avgemp,2622683,2,2011.2
2010,Minnesota,avgemp,2584685,2,2010.2
2009,Minnesota,avgemp,2594600,2,2009.2
2008,Minnesota,avgemp,2704567,2,2008.2
2007,Minnesota,avgemp,2709331,2,2007.2
2006,Minnesota,avgemp,2700084,2,2006.2
2005,Minnesota,avgemp,2649920,2,2005.2
2004,Minnesota,avgemp,2629490,2,2004.2
2003,Minnesota,avgemp,2604530,2,2003.2
2002,Minnesota,avgemp,2602874,2,2002.2
2001,Minnesota,avgemp,2637003,2,2001.2
2021,Minnesota,avgemp,2793226,3,2021.3
2020,Minnesota,avgemp,2683944,3,2020.3
2019,Minnesota,avgemp,2917014,3,2019.3
2018,Minnesota,avgemp,2897339,3,2018.3
2017,Minnesota,avgemp,2866970,3,2017.3
2016,Minnesota,avgemp,2835957,3,2016.3
2015,Minnesota,avgemp,2791538,3,2015.3
2014,Minnesota,avgemp,2748201,3,2014.3
2013,Minnesota,avgemp,2707208,3,2013.3
2012,Minnesota,avgemp,2659417,3,2012.3
2011,Minnesota,avgemp,2620814,3,2011.3
2010,Minnesota,avgemp,2578777,3,2010.3
2009,Minnesota,avgemp,2562456,3,2009.3
2008,Minnesota,avgemp,2693529,3,2008.3
2007,Minnesota,avgemp,2702520,3,2007.3
2006,Minnesota,avgemp,2686662,3,2006.3
2005,Minnesota,avgemp,2661977,3,2005.3
2004,Minnesota,avgemp,2613231,3,2004.3
2003,Minnesota,avgemp,2580614,3,2003.3
2002,Minnesota,avgemp,2591195,3,2002.3
2001,Minnesota,avgemp,2611752,3,2001.3
2020,Minnesota,avgemp,2729737,4,2020.4
2019,Minnesota,avgemp,2927468,4,2019.4
2018,Minnesota,avgemp,2911737,4,2018.4
2017,Minnesota,avgemp,2883735,4,2017.4
2016,Minnesota,avgemp,2848839,4,2016.4
2015,Minnesota,avgemp,2811563,4,2015.4
2014,Minnesota,avgemp,2766994,4,2014.4
2013,Minnesota,avgemp,2731960,4,2013.4
2012,Minnesota,avgemp,2683814,4,2012.4
