periodyear,planning.region,key,value,quarter,year.quarter
2021,Central,avgemp,259390,1,2021.1
2020,Central,avgemp,272345,1,2020.1
2019,Central,avgemp,271110,1,2019.1
2018,Central,avgemp,268749,1,2018.1
2017,Central,avgemp,267730,1,2017.1
2016,Central,avgemp,262544,1,2016.1
2015,Central,avgemp,259549,1,2015.1
2014,Central,avgemp,254596,1,2014.1
2013,Central,avgemp,249529,1,2013.1
2012,Central,avgemp,245180,1,2012.1
2011,Central,avgemp,241263,1,2011.1
2010,Central,avgemp,236003,1,2010.1
2009,Central,avgemp,243367,1,2009.1
2008,Central,avgemp,253169,1,2008.1
2007,Central,avgemp,252668,1,2007.1
2006,Central,avgemp,249673,1,2006.1
2005,Central,avgemp,240713,1,2005.1
2004,Central,avgemp,236402,1,2004.1
2003,Central,avgemp,234156,1,2003.1
2002,Central,avgemp,232748,1,2002.1
2001,Central,avgemp,230023,1,2001.1
2021,Northeast,avgemp,129155,1,2021.1
2020,Northeast,avgemp,139919,1,2020.1
2019,Northeast,avgemp,140549,1,2019.1
2018,Northeast,avgemp,140336,1,2018.1
2017,Northeast,avgemp,139893,1,2017.1
2016,Northeast,avgemp,137849,1,2016.1
2015,Northeast,avgemp,138980,1,2015.1
2014,Northeast,avgemp,137082,1,2014.1
2013,Northeast,avgemp,136475,1,2013.1
2012,Northeast,avgemp,133932,1,2012.1
2011,Northeast,avgemp,133813,1,2011.1
2010,Northeast,avgemp,132836,1,2010.1
2009,Northeast,avgemp,134914,1,2009.1
2008,Northeast,avgemp,139169,1,2008.1
2007,Northeast,avgemp,137990,1,2007.1
2006,Northeast,avgemp,138126,1,2006.1
2005,Northeast,avgemp,134780,1,2005.1
2004,Northeast,avgemp,134008,1,2004.1
2003,Northeast,avgemp,134855,1,2003.1
2002,Northeast,avgemp,134144,1,2002.1
2001,Northeast,avgemp,136256,1,2001.1
2021,Northwest,avgemp,208511,1,2021.1
2020,Northwest,avgemp,215390,1,2020.1
2019,Northwest,avgemp,214521,1,2019.1
2018,Northwest,avgemp,213764,1,2018.1
2017,Northwest,avgemp,212688,1,2017.1
2016,Northwest,avgemp,210163,1,2016.1
2015,Northwest,avgemp,208230,1,2015.1
2014,Northwest,avgemp,206526,1,2014.1
2013,Northwest,avgemp,204142,1,2013.1
2012,Northwest,avgemp,200073,1,2012.1
2011,Northwest,avgemp,198722,1,2011.1
2010,Northwest,avgemp,197576,1,2010.1
2009,Northwest,avgemp,200918,1,2009.1
2008,Northwest,avgemp,206046,1,2008.1
2007,Northwest,avgemp,204150,1,2007.1
2006,Northwest,avgemp,207089,1,2006.1
2005,Northwest,avgemp,201229,1,2005.1
2004,Northwest,avgemp,199411,1,2004.1
2003,Northwest,avgemp,198635,1,2003.1
2002,Northwest,avgemp,196273,1,2002.1
2001,Northwest,avgemp,194939,1,2001.1
2021,Seven County Mpls-St Paul,avgemp,1631459,1,2021.1
2020,Seven County Mpls-St Paul,avgemp,1757368,1,2020.1
2019,Seven County Mpls-St Paul,avgemp,1747831,1,2019.1
2018,Seven County Mpls-St Paul,avgemp,1735840,1,2018.1
2017,Seven County Mpls-St Paul,avgemp,1709766,1,2017.1
2016,Seven County Mpls-St Paul,avgemp,1667780,1,2016.1
2015,Seven County Mpls-St Paul,avgemp,1638051,1,2015.1
2014,Seven County Mpls-St Paul,avgemp,1607516,1,2014.1
2013,Seven County Mpls-St Paul,avgemp,1586784,1,2013.1
2012,Seven County Mpls-St Paul,avgemp,1555131,1,2012.1
2011,Seven County Mpls-St Paul,avgemp,1526363,1,2011.1
2010,Seven County Mpls-St Paul,avgemp,1499885,1,2010.1
2009,Seven County Mpls-St Paul,avgemp,1542570,1,2009.1
2008,Seven County Mpls-St Paul,avgemp,1596258,1,2008.1
2007,Seven County Mpls-St Paul,avgemp,1594648,1,2007.1
2006,Seven County Mpls-St Paul,avgemp,1586436,1,2006.1
2005,Seven County Mpls-St Paul,avgemp,1553776,1,2005.1
2004,Seven County Mpls-St Paul,avgemp,1535707,1,2004.1
2003,Seven County Mpls-St Paul,avgemp,1537546,1,2003.1
2002,Seven County Mpls-St Paul,avgemp,1547183,1,2002.1
2001,Seven County Mpls-St Paul,avgemp,1588687,1,2001.1
2021,Southeast,avgemp,231451,1,2021.1
2020,Southeast,avgemp,243320,1,2020.1
2019,Southeast,avgemp,241908,1,2019.1
2018,Southeast,avgemp,239991,1,2018.1
2017,Southeast,avgemp,237724,1,2017.1
2016,Southeast,avgemp,235833,1,2016.1
2015,Southeast,avgemp,231217,1,2015.1
2014,Southeast,avgemp,229874,1,2014.1
2013,Southeast,avgemp,230054,1,2013.1
2012,Southeast,avgemp,226730,1,2012.1
2011,Southeast,avgemp,221638,1,2011.1
2010,Southeast,avgemp,219015,1,2010.1
2009,Southeast,avgemp,225195,1,2009.1
2008,Southeast,avgemp,229569,1,2008.1
2007,Southeast,avgemp,228239,1,2007.1
2006,Southeast,avgemp,228325,1,2006.1
2005,Southeast,avgemp,222606,1,2005.1
2004,Southeast,avgemp,221420,1,2004.1
2003,Southeast,avgemp,221626,1,2003.1
2002,Southeast,avgemp,221409,1,2002.1
2001,Southeast,avgemp,224276,1,2001.1
2021,Southwest,avgemp,163696,1,2021.1
2020,Southwest,avgemp,172342,1,2020.1
2019,Southwest,avgemp,172303,1,2019.1
2018,Southwest,avgemp,172891,1,2018.1
2017,Southwest,avgemp,173554,1,2017.1
2016,Southwest,avgemp,172806,1,2016.1
2015,Southwest,avgemp,171237,1,2015.1
2014,Southwest,avgemp,170494,1,2014.1
2013,Southwest,avgemp,169966,1,2013.1
2012,Southwest,avgemp,169433,1,2012.1
2011,Southwest,avgemp,168063,1,2011.1
2010,Southwest,avgemp,166106,1,2010.1
2009,Southwest,avgemp,171143,1,2009.1
2008,Southwest,avgemp,174674,1,2008.1
2007,Southwest,avgemp,173521,1,2007.1
2006,Southwest,avgemp,174470,1,2006.1
2005,Southwest,avgemp,170059,1,2005.1
2004,Southwest,avgemp,168610,1,2004.1
2003,Southwest,avgemp,170073,1,2003.1
2002,Southwest,avgemp,169879,1,2002.1
2001,Southwest,avgemp,172478,1,2001.1
2021,Central,avgemp,271359,2,2021.2
2020,Central,avgemp,251167,2,2020.2
2019,Central,avgemp,281221,2,2019.2
2018,Central,avgemp,279197,2,2018.2
2017,Central,avgemp,278206,2,2017.2
2016,Central,avgemp,272978,2,2016.2
2015,Central,avgemp,271397,2,2015.2
2014,Central,avgemp,266045,2,2014.2
2013,Central,avgemp,260420,2,2013.2
2012,Central,avgemp,256804,2,2012.2
2011,Central,avgemp,252118,2,2011.2
2010,Central,avgemp,248362,2,2010.2
2009,Central,avgemp,249602,2,2009.2
2008,Central,avgemp,262008,2,2008.2
2007,Central,avgemp,263633,2,2007.2
2006,Central,avgemp,261027,2,2006.2
2005,Central,avgemp,253173,2,2005.2
2004,Central,avgemp,250032,2,2004.2
2003,Central,avgemp,245261,2,2003.2
2002,Central,avgemp,242656,2,2002.2
2001,Central,avgemp,239236,2,2001.2
2021,Northeast,avgemp,135365,2,2021.2
2020,Northeast,avgemp,123519,2,2020.2
2019,Northeast,avgemp,145575,2,2019.2
2018,Northeast,avgemp,144968,2,2018.2
2017,Northeast,avgemp,144412,2,2017.2
2016,Northeast,avgemp,142976,2,2016.2
2015,Northeast,avgemp,144466,2,2015.2
2014,Northeast,avgemp,142556,2,2014.2
2013,Northeast,avgemp,141373,2,2013.2
2012,Northeast,avgemp,139413,2,2012.2
2011,Northeast,avgemp,139590,2,2011.2
2010,Northeast,avgemp,138821,2,2010.2
2009,Northeast,avgemp,137404,2,2009.2
2008,Northeast,avgemp,143909,2,2008.2
2007,Northeast,avgemp,143620,2,2007.2
2006,Northeast,avgemp,142556,2,2006.2
2005,Northeast,avgemp,140917,2,2005.2
2004,Northeast,avgemp,139897,2,2004.2
2003,Northeast,avgemp,138848,2,2003.2
2002,Northeast,avgemp,139331,2,2002.2
2001,Northeast,avgemp,139819,2,2001.2
2021,Northwest,avgemp,220526,2,2021.2
2020,Northwest,avgemp,201543,2,2020.2
2019,Northwest,avgemp,226774,2,2019.2
2018,Northwest,avgemp,225764,2,2018.2
2017,Northwest,avgemp,224660,2,2017.2
2016,Northwest,avgemp,222564,2,2016.2
2015,Northwest,avgemp,221514,2,2015.2
2014,Northwest,avgemp,219961,2,2014.2
2013,Northwest,avgemp,216650,2,2013.2
2012,Northwest,avgemp,214029,2,2012.2
2011,Northwest,avgemp,211882,2,2011.2
2010,Northwest,avgemp,211172,2,2010.2
2009,Northwest,avgemp,210888,2,2009.2
2008,Northwest,avgemp,216781,2,2008.2
2007,Northwest,avgemp,216215,2,2007.2
2006,Northwest,avgemp,217308,2,2006.2
2005,Northwest,avgemp,215258,2,2005.2
2004,Northwest,avgemp,216041,2,2004.2
2003,Northwest,avgemp,211832,2,2003.2
2002,Northwest,avgemp,209443,2,2002.2
2001,Northwest,avgemp,206923,2,2001.2
2021,Seven County Mpls-St Paul,avgemp,1680067,2,2021.2
2020,Seven County Mpls-St Paul,avgemp,1550012,2,2020.2
2019,Seven County Mpls-St Paul,avgemp,1783447,2,2019.2
2018,Seven County Mpls-St Paul,avgemp,1765642,2,2018.2
2017,Seven County Mpls-St Paul,avgemp,1743797,2,2017.2
2016,Seven County Mpls-St Paul,avgemp,1709247,2,2016.2
2015,Seven County Mpls-St Paul,avgemp,1684951,2,2015.2
2014,Seven County Mpls-St Paul,avgemp,1649932,2,2014.2
2013,Seven County Mpls-St Paul,avgemp,1626683,2,2013.2
2012,Seven County Mpls-St Paul,avgemp,1598991,2,2012.2
2011,Seven County Mpls-St Paul,avgemp,1572390,2,2011.2
2010,Seven County Mpls-St Paul,avgemp,1547799,2,2010.2
2009,Seven County Mpls-St Paul,avgemp,1553261,2,2009.2
2008,Seven County Mpls-St Paul,avgemp,1624198,2,2008.2
2007,Seven County Mpls-St Paul,avgemp,1632008,2,2007.2
2006,Seven County Mpls-St Paul,avgemp,1626475,2,2006.2
2005,Seven County Mpls-St Paul,avgemp,1598825,2,2005.2
2004,Seven County Mpls-St Paul,avgemp,1585091,2,2004.2
2003,Seven County Mpls-St Paul,avgemp,1573551,2,2003.2
2002,Seven County Mpls-St Paul,avgemp,1573538,2,2002.2
2001,Seven County Mpls-St Paul,avgemp,1612162,2,2001.2
2021,Southeast,avgemp,239278,2,2021.2
