Dem_Desc,year.quarter,key,value
Entirely rural,2001.1,avgemp,31771
Entirely rural,2001.1,avg_estab,3606
Entirely rural,2001.1,totwage,168513425
Entirely rural,2001.2,avgemp,33643
Entirely rural,2001.2,avg_estab,3643
Entirely rural,2001.2,totwage,184772086
Entirely rural,2001.3,avgemp,33396
Entirely rural,2001.3,avg_estab,3651
Entirely rural,2001.3,totwage,176896252
Entirely rural,2001.4,avgemp,33257
Entirely rural,2001.4,avg_estab,3647
Entirely rural,2001.4,totwage,199552954
Entirely rural,2002.1,avgemp,31585
Entirely rural,2002.1,avg_estab,3618
Entirely rural,2002.1,totwage,172974332
Entirely rural,2002.2,avgemp,33699
Entirely rural,2002.2,avg_estab,3674
Entirely rural,2002.2,totwage,192265603
Entirely rural,2002.3,avgemp,33798
Entirely rural,2002.3,avg_estab,3681
Entirely rural,2002.3,totwage,189073126
Entirely rural,2002.4,avgemp,33645
Entirely rural,2002.4,avg_estab,3673
Entirely rural,2002.4,totwage,213729868
Entirely rural,2003.1,avgemp,31876
Entirely rural,2003.1,avg_estab,3651
Entirely rural,2003.1,totwage,181237042
Entirely rural,2003.2,avgemp,33705
Entirely rural,2003.2,avg_estab,3689
Entirely rural,2003.2,totwage,199495814
Entirely rural,2003.3,avgemp,33520
Entirely rural,2003.3,avg_estab,3702
Entirely rural,2003.3,totwage,192523154
Entirely rural,2003.4,avgemp,33302
Entirely rural,2003.4,avg_estab,3682
Entirely rural,2003.4,totwage,216130062
Entirely rural,2004.1,avgemp,31732
Entirely rural,2004.1,avg_estab,3684
Entirely rural,2004.1,totwage,185959332
Entirely rural,2004.2,avgemp,33993
Entirely rural,2004.2,avg_estab,3708
Entirely rural,2004.2,totwage,206453186
Entirely rural,2004.3,avgemp,33439
Entirely rural,2004.3,avg_estab,3705
Entirely rural,2004.3,totwage,199528743
Entirely rural,2004.4,avgemp,33707
Entirely rural,2004.4,avg_estab,3718
Entirely rural,2004.4,totwage,230625591
Entirely rural,2005.1,avgemp,31368
Entirely rural,2005.1,avg_estab,3722
Entirely rural,2005.1,totwage,188910011
Entirely rural,2005.2,avgemp,33391
Entirely rural,2005.2,avg_estab,3819
Entirely rural,2005.2,totwage,204789771
Entirely rural,2005.3,avgemp,33796
Entirely rural,2005.3,avg_estab,3857
Entirely rural,2005.3,totwage,206315039
Entirely rural,2005.4,avgemp,33503
Entirely rural,2005.4,avg_estab,3871
Entirely rural,2005.4,totwage,222394932
Entirely rural,2006.1,avgemp,32327
Entirely rural,2006.1,avg_estab,3869
Entirely rural,2006.1,totwage,204830564
Entirely rural,2006.2,avgemp,33720
Entirely rural,2006.2,avg_estab,3907
Entirely rural,2006.2,totwage,213946573
Entirely rural,2006.3,avgemp,33299
Entirely rural,2006.3,avg_estab,3808
Entirely rural,2006.3,totwage,208600940
Entirely rural,2006.4,avgemp,33056
Entirely rural,2006.4,avg_estab,3828
Entirely rural,2006.4,totwage,232436748
Entirely rural,2007.1,avgemp,31417
Entirely rural,2007.1,avg_estab,3721
Entirely rural,2007.1,totwage,207451135
Entirely rural,2007.2,avgemp,33049
Entirely rural,2007.2,avg_estab,3759
Entirely rural,2007.2,totwage,218194141
Entirely rural,2007.3,avgemp,33130
Entirely rural,2007.3,avg_estab,3741
Entirely rural,2007.3,totwage,216925890
Entirely rural,2007.4,avgemp,33224
Entirely rural,2007.4,avg_estab,3749
Entirely rural,2007.4,totwage,245404827
Entirely rural,2008.1,avgemp,31676
Entirely rural,2008.1,avg_estab,3748
Entirely rural,2008.1,totwage,217921974
Entirely rural,2008.2,avgemp,33213
Entirely rural,2008.2,avg_estab,3775
Entirely rural,2008.2,totwage,226853159
Entirely rural,2008.3,avgemp,33373
Entirely rural,2008.3,avg_estab,3759
Entirely rural,2008.3,totwage,230369411
Entirely rural,2008.4,avgemp,33275
Entirely rural,2008.4,avg_estab,3755
Entirely rural,2008.4,totwage,251790491
Entirely rural,2009.1,avgemp,30613
Entirely rural,2009.1,avg_estab,3700
Entirely rural,2009.1,totwage,214566068
Entirely rural,2009.2,avgemp,32182
Entirely rural,2009.2,avg_estab,3688
Entirely rural,2009.2,totwage,227092609
Entirely rural,2009.3,avgemp,32243
Entirely rural,2009.3,avg_estab,3666
Entirely rural,2009.3,totwage,226185598
Entirely rural,2009.4,avgemp,32589
Entirely rural,2009.4,avg_estab,3664
Entirely rural,2009.4,totwage,253403113
Entirely rural,2010.1,avgemp,30353
Entirely rural,2010.1,avg_estab,3625
Entirely rural,2010.1,totwage,212819230
Entirely rural,2010.2,avgemp,32549
Entirely rural,2010.2,avg_estab,3652
Entirely rural,2010.2,totwage,230185073
Entirely rural,2010.3,avgemp,32446
Entirely rural,2010.3,avg_estab,3668
Entirely rural,2010.3,totwage,233566827
Entirely rural,2010.4,avgemp,32003
Entirely rural,2010.4,avg_estab,3658
Entirely rural,2010.4,totwage,261014886
Entirely rural,2011.1,avgemp,29916
Entirely rural,2011.1,avg_estab,3677
Entirely rural,2011.1,totwage,217999574
Entirely rural,2011.2,avgemp,31917
Entirely rural,2011.2,avg_estab,3695
Entirely rural,2011.2,totwage,234460767
Entirely rural,2011.3,avgemp,32236
Entirely rural,2011.3,avg_estab,3704
Entirely rural,2011.3,totwage,243733926
Entirely rural,2011.4,avgemp,32053
Entirely rural,2011.4,avg_estab,3702
Entirely rural,2011.4,totwage,269830907
Entirely rural,2012.1,avgemp,30173
Entirely rural,2012.1,avg_estab,3664
Entirely rural,2012.1,totwage,235218281
Entirely rural,2012.2,avgemp,32114
Entirely rural,2012.2,avg_estab,3616
Entirely rural,2012.2,totwage,242794774
Entirely rural,2012.3,avgemp,32214
Entirely rural,2012.3,avg_estab,3612
Entirely rural,2012.3,totwage,243236149
Entirely rural,2012.4,avgemp,32099
Entirely rural,2012.4,avg_estab,3617
Entirely rural,2012.4,totwage,275003465
Entirely rural,2013.1,avgemp,30306
Entirely rural,2013.1,avg_estab,3587
Entirely rural,2013.1,totwage,234508062
Entirely rural,2013.2,avgemp,31877
Entirely rural,2013.2,avg_estab,3637
Entirely rural,2013.2,totwage,246978644
Entirely rural,2013.3,avgemp,32194
Entirely rural,2013.3,avg_estab,3655
Entirely rural,2013.3,totwage,252057205
Entirely rural,2013.4,avgemp,32033
Entirely rural,2013.4,avg_estab,3542
Entirely rural,2013.4,totwage,279373671
Entirely rural,2014.1,avgemp,30196
Entirely rural,2014.1,avg_estab,3520
Entirely rural,2014.1,totwage,243103696
Entirely rural,2014.2,avgemp,32162
Entirely rural,2014.2,avg_estab,3525
Entirely rural,2014.2,totwage,256607338
Entirely rural,2014.3,avgemp,32248
Entirely rural,2014.3,avg_estab,3530
Entirely rural,2014.3,totwage,258933619
Entirely rural,2014.4,avgemp,31981
Entirely rural,2014.4,avg_estab,3529
