periodyear,naicstitle,indcode,ownership,areaname,ownertitle,stfips,areatype,area,indlevel,pub_order,avgemp1,avgemp2,avgemp3,avgemp4,avg_estab1,avg_estab2,avg_estab3,avg_estab4,totwage1,totwage2,totwage3,totwage4,avgwkwage1,avgwkwage2,avgwkwage3,avgwkwage4,empYear,avg_estabYear,totwageYear,avgwkwageYear,gjg_total1,gjg_total2,gjg_total3,gjg_total4,gjg_totalYear,gjg_expanding1,gjg_expanding2,gjg_expanding3,gjg_expanding4,gjg_expandingYear,gjg_openings1,gjg_openings2,gjg_openings3,gjg_openings4,gjg_openingsYear,gjl_total1,gjl_total2,gjl_total3,gjl_total4,gjl_totalYear,gjl_contracting1,gjl_contracting2,gjl_contracting3,gjl_contracting4,gjl_contractingYear,gjl_closing1,gjl_closing2,gjl_closing3,gjl_closing4,gjl_closingYear,births_estabs1,births_estabs2,births_estabs3,births_estabs4,births_estabsYear,births_employ1,births_employ2,births_employ3,births_employ4,births_employYear,deaths_estabs1,deaths_estabs2,deaths_estabs3,deaths_estabs4,deaths_estabsYear,deaths_employ1,deaths_employ2,deaths_employ3,deaths_employ4,deaths_employYear,
"2021","Total, All Industries","000000","00","Aitkin County                   ","Total, All Ownerships                   ","27","04","000001","0","1",3854,4220,4269,,458,470,473,,39899601,43872333,44585262,,796,799,803,,,,,,391,999999,999999,999999,999999,306,999999,999999,999999,999999,85,999999,999999,999999,999999,284,999999,999999,999999,999999,214,999999,999999,999999,999999,70,999999,999999,999999,999999,6,999999,999999,999999,999999,12,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
"2020","Total, All Industries","000000","00","Aitkin County                   ","Total, All Ownerships                   ","27","04","000001","0","1",4049,3788,4159,4057,458,464,469,472,38121307,38378923,40154287,43502329,724,779,742,824,4013,466,160156846,767,253,446,361,251,356,138,302,260,203,240,115,144,101,48,116,275,429,256,592,599,218,321,217,393,490,57,108,39,199,109,12,6,6,6,24,54,19,26,15,93,7,8,999999,999999,999999,11,20,999999,999999,999999
"2019","Total, All Industries","000000","00","Aitkin County                   ","Total, All Ownerships                   ","27","04","000001","0","1",3955,4245,4200,4147,440,448,452,456,35480908,38558715,38223519,39783489,690,698,700,737,4137,449,152046631,706,160,611,162,296,391,143,397,142,265,266,17,214,20,31,125,279,138,408,400,387,229,119,370,245,262,50,19,38,155,125,3,15,5,7,17,3,80,14,22,106,6,2,8,9,18,9,13,27,28,69
"2018","Total, All Industries","000000","00","Aitkin County                   ","Total, All Ownerships                   ","27","04","000001","0","1",3901,4168,4139,4155,442,444,450,454,35142351,36979735,37412047,38728476,692,682,695,716,4091,448,148262609,696,195,558,146,302,411,177,374,120,270,343,18,184,26,32,68,256,151,369,344,330,168,135,339,240,259,88,16,30,104,71,2,7,6,5,13,7,18,15,20,50,11,5,6,5,15,38,6,13,17,43
"2017","Total, All Industries","000000","00","Aitkin County                   ","Total, All Ownerships                   ","27","04","000001","0","1",3921,4111,4111,4075,432,436,435,439,34209867,35419435,35072709,36820130,671,662,656,695,4055,436,141522141,671,217,455,182,254,316,169,384,159,234,287,48,71,23,20,29,222,170,265,405,273,188,140,241,293,214,34,30,24,112,59,8,5,3,6,14,12,10,4,9,20,6,5,6,8,14,13,10,11,14,30
"2016","Total, All Industries","000000","00","Aitkin County                   ","Total, All Ownerships                   ","27","04","000001","0","1",3685,3978,3974,3969,423,424,431,432,30411198,32612374,35174077,34975798,634,630,680,677,3902,428,133173447,655,182,478,169,290,383,136,333,129,266,287,46,145,40,24,96,316,111,276,362,292,225,75,265,221,219,91,36,11,141,73,11,5,8,4,21,30,9,22,9,70,10,3,5,8,20,27,6,8,48,52
"2015","Total, All Industries","000000","00","Aitkin County                   ","Total, All Ownerships                   ","27","04","000001","0","1",3569,3863,3811,3838,433,434,417,416,28881468,30819294,31284208,33696037,622,613,631,675,3770,425,124681007,635,188,522,165,259,389,156,361,129,233,293,32,161,36,26,96,234,178,314,305,285,175,96,282,233,160,59,82,32,72,125,6,11,4,4,17,14,30,24,5,51,5,11,7,11,24,11,64,20,15,104
"2014","Total, All Industries","000000","00","Aitkin County                   ","Total, All Ownerships                   ","27","04","000001","0","1",3539,3837,3815,3747,435,434,434,438,27500978,29346551,30061686,30471197,597,588,606,625,3735,435,117380412,604,167,574,178,196,254,133,374,149,185,191,34,200,29,11,63,309,142,372,362,322,222,125,333,247,244,87,17,39,115,78,5,11,5,2,16,22,52,19,2,52,7,6,7,4,17,37,10,33,9,68
"2013","Total, All Industries","000000","00","Aitkin County                   ","Total, All Ownerships                   ","27","04","000001","0","1",3491,3745,3748,3757,448,452,458,443,27063882,28068894,28533219,28998714,596,576,585,593,3685,450,112664709,588,148,595,210,268,395,111,435,135,250,298,37,160,75,18,97,365,170,311,350,369,263,134,271,235,233,102,36,40,115,136,6,12,9,1,23,23,22,55,2,92,5,6,4,10,20,32,25,28,21,108
"2012","Total, All Industries","000000","00","Aitkin County                   ","Total, All Ownerships                   ","27","04","000001","0","1",3426,3755,3724,3778,455,445,443,445,26189605,27741773,27909341,29183417,588,568,576,594,3671,447,111024136,582,145,556,214,323,354,107,399,180,258,249,38,157,34,65,105,347,123,330,367,283,246,113,281,252,165,101,10,49,115,118,8,5,11,7,23,23,7,25,34,75,8,1,12,9,22,54,4,27,39,104
