periodyear,naicstitle,indcode,ownership,areaname,ownertitle,stfips,areatype,area,indlevel,pub_order,avgemp1,avgemp2,avgemp3,avgemp4,avg_estab1,avg_estab2,avg_estab3,avg_estab4,totwage1,totwage2,totwage3,totwage4,avgwkwage1,avgwkwage2,avgwkwage3,avgwkwage4,empYear,avg_estabYear,totwageYear,avgwkwageYear,gjg_total1,gjg_total2,gjg_total3,gjg_total4,gjg_totalYear,gjg_expanding1,gjg_expanding2,gjg_expanding3,gjg_expanding4,gjg_expandingYear,gjg_openings1,gjg_openings2,gjg_openings3,gjg_openings4,gjg_openingsYear,gjl_total1,gjl_total2,gjl_total3,gjl_total4,gjl_totalYear,gjl_contracting1,gjl_contracting2,gjl_contracting3,gjl_contracting4,gjl_contractingYear,gjl_closing1,gjl_closing2,gjl_closing3,gjl_closing4,gjl_closingYear,births_estabs1,births_estabs2,births_estabs3,births_estabs4,births_estabsYear,births_employ1,births_employ2,births_employ3,births_employ4,births_employYear,deaths_estabs1,deaths_estabs2,deaths_estabs3,deaths_estabs4,deaths_estabsYear,deaths_employ1,deaths_employ2,deaths_employ3,deaths_employ4,deaths_employYear,
"2021","Total, All Industries","000000","00","Minnesota                       ","Total, All Ownerships                   ","27","01","000000","0","1",2684791,2781326,2793226,,180279,184098,186984,,44997975377,44861471762,45328696254,,1289,1240,1248,,,,,,163785,999999,999999,999999,999999,134765,999999,999999,999999,999999,29020,999999,999999,999999,999999,153002,999999,999999,999999,999999,126206,999999,999999,999999,999999,26796,999999,999999,999999,999999,4448,999999,999999,999999,999999,11512,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999,999999
"2020","Total, All Industries","000000","00","Minnesota                       ","Total, All Ownerships                   ","27","01","000000","0","1",2856066,2560820,2683944,2729737,178294,180744,183876,186606,45766301540,39918992793,41071780780,46971031925,1232,1199,1177,1323,2707642,182380,173728107038,1233,102742,151157,192708,172944,191320,86018,122989,166324,148073,146943,16724,28168,26384,24871,44377,177463,345443,132499,193727,421010,148207,307930,113644,158662,347839,29256,37513,18855,35065,73171,3172,2895,3317,3886,10750,9238,7255,8817,10667,35118,3860,3792,999999,999999,999999,13720,13442,999999,999999,999999
"2019","Total, All Industries","000000","00","Minnesota                       ","Total, All Ownerships                   ","27","01","000000","0","1",2842776,2919269,2917014,2927468,173945,176898,179244,181183,44451999870,41770542069,41980084118,44786281317,1202,1100,1107,1176,2901632,177818,172988907374,1146,106416,232399,129673,160514,229991,90054,197457,109992,140220,180382,16362,34942,19681,20294,49609,167516,119418,165236,164687,217819,140272,102024,146489,137006,165182,27244,17394,18747,27681,52637,3317,4031,3589,3504,11493,9892,12340,10604,10207,42349,3956,2977,3222,3211,10295,13726,10210,11251,11371,44711
"2018","Total, All Industries","000000","00","Minnesota                       ","Total, All Ownerships                   ","27","01","000000","0","1",2825050,2893888,2897339,2911737,171245,173796,176021,177599,43183709643,40357472079,40499542825,43150914633,1175,1072,1075,1139,2882004,174665,167191639180,1115,109209,226908,138209,156387,235327,90751,193449,120280,135544,182919,18458,33459,17929,20843,52408,160088,122565,162936,158888,209090,131696,108026,143966,134110,157271,28392,14539,18970,24778,51819,3514,3703,3288,3321,10999,11548,11579,10496,11895,45103,4118,2586,3126,2867,9943,15574,8434,11518,9132,44724
"2017","Total, All Industries","000000","00","Minnesota                       ","Total, All Ownerships                   ","27","01","000000","0","1",2795269,2870041,2866970,2883735,163494,166843,168504,170139,41832430049,38752028853,38447481536,41267848570,1151,1038,1031,1100,2854004,167245,160299789008,1080,120186,221892,142012,155226,239603,98572,197091,122064,135013,185182,21614,24801,19948,20213,54421,154753,125096,161788,162190,204104,134771,106951,142990,134402,153690,19982,18145,18798,27788,50414,3349,3335,3173,3138,10508,12716,10688,11680,11135,46991,3136,3337,3169,2950,9791,12172,10531,11319,11381,43056
"2016","Total, All Industries","000000","00","Minnesota                       ","Total, All Ownerships                   ","27","01","000000","0","1",2742796,2828417,2835957,2848839,158164,159743,160668,161871,37998684810,36680880271,38758515416,39400727882,1065,997,1051,1063,2814002,160112,152838808379,1044,108966,223748,156484,155255,240793,90305,189414,133178,135722,186018,18661,34334,23306,19533,54775,165840,127121,152601,167011,208906,135782,108509,135708,139508,157438,30058,18612,16893,27503,51468,3362,3103,2956,3250,10162,12127,11655,11591,11232,46693,3757,2831,2875,2746,9757,14763,9102,10081,9862,42775
"2015","Total, All Industries","000000","00","Minnesota                       ","Total, All Ownerships                   ","27","01","000000","0","1",2699574,2795030,2791538,2811563,162451,162550,158325,158961,37846472787,35519702577,35964084865,39285208760,1078,977,991,1074,2774426,160572,148615468989,1030,107872,230711,134276,163624,245303,88884,193293,113917,141291,182592,18988,37418,20359,22333,62711,160972,113809,157876,161057,202534,135176,97825,140407,132260,150285,25796,15984,17469,28797,52249,3353,3977,2955,3229,10947,12902,15947,12564,12967,54977,3433,2783,2681,3557,9917,13114,10534,10208,13162,44910
"2014","Total, All Industries","000000","00","Minnesota                       ","Total, All Ownerships                   ","27","01","000000","0","1",2657257,2745999,2748201,2766994,162912,163423,164021,164687,35766744665,33810534903,34464125972,36827240573,1035,947,964,1023,2729613,163761,140868646113,992,102407,235903,136309,156004,238196,86472,190788,115643,136342,180563,15935,45115,20666,19662,57633,168571,109169,157538,154041,196895,138728,92576,138369,127672,145555,29843,16593,19169,26369,51340,1996,4892,3198,2732,10377,9839,20476,12485,9728,50181,3707,2608,2962,2924,9845,14307,10049,11046,9975,43788
"2013","Total, All Industries","000000","00","Minnesota                       ","Total, All Ownerships                   ","27","01","000000","0","1",2623739,2705772,2707208,2731960,161643,163282,164898,162484,34156975302,32663107137,33014253736,35075324177,1001,928,938,987,2692170,163077,134909660352,964,115675,218427,130465,150279,237173,94166,183757,111044,132990,183792,21509,34670,19421,17289,53381,158527,105499,149215,156108,191649,128206,89091,132663,130119,139333,30321,16408,16552,25989,52316,3367,3192,2839,2428,9467,15963,12252,11625,9080,46564,3495,2795,2849,2758,9651,15881,10116,10562,9698,43156
"2012","Total, All Industries","000000","00","Minnesota                       ","Total, All Ownerships                   ","27","01","000000","0","1",2572720,2663790,2659417,2683814,164797,160749,161312,162475,33121452600,31414920172,31598130672,34377504302,990,907,913,985,2644935,162333,130512007746,949,119583,215681,134599,153173,246061,94356,185071,110036,133451,182311,25227,30610,24563,19722,63750,169444,107441,149207,156326,205580,139589,89426,130738,130747,148869,29855,18015,18469,25579,56711,3925,1900,4093,3075,10720,19996,9856,16624,11085,57312,3976,2807,3204,2626,10237,16674,11859,11482,10435,50042
"2011","Total, All Industries","000000","00","Minnesota                       ","Total, All Ownerships                   ","27","01","000000","0","1",2530056,2622683,2620814,2640552,162816,164548,165569,165531,30634033877,30595197943,31189411401,32170154448,931,897,915,937,2603526,164616,124588797669,920,108515,216939,138113,145521,235256,84554,179807,113482,129174,174091,23961,37132,24631,16347,61165,156080,103211,142914,155114,183506,127705,84217,128141,129949,134582,28375,18994,14773,25165,48924,4108,3818,4211,2816,11643,16937,15051,16578,9300,52090,3243,3243,2666,2566,9069,12390,12018,9106,9210,42616
"2010","Total, All Industries","000000","00","Minnesota                       ","Total, All Ownerships                   ","27","01","000000","0","1",2490782,2584685,2578777,2599318,161554,163081,163761,163594,28564244812,29138769027,29258300665,32882657630,882,867,872,973,2563391,162998,119843972134,899,112640,213379,120682,154359,227060,82931,180535,103807,131090,166259,29709,32844,16875,23269,60801,178267,98997,152283,149788,205335,138420,83956,130675,124293,141277,39847,15041,21608,25495,64058,3894,2093,2678,3058,9483,23167,11915,11051,10749,53178,4288,2726,3072,2609,10314,24397,10263,11460,9288,51855
"2009","Total, All Industries","000000","00","Minnesota                       ","Total, All Ownerships                   ","27","01","000000","0","1",2556978,2594600,2562456,2575735,164340,162961,162722,163108,29267334244,28351981287,27844100585,31044730159,880,840,835,927,2572442,163283,116508146275,871,100722,200828,122071,151447,201254,80411,163771,96994,134722,144176,20311,37057,25077,16725,57078,222474,131898,165548,153017,299134,182149,111584,147178,127840,229850,40325,20314,18370,25177,69284,2797,3198,3224,1874,8839,14519,15643,14975,7587,48208,5020,3086,3159,2567,11428,22860,12485,11849,10804,60173
"2008","Total, All Industries","000000","00","Minnesota                       ","Total, All Ownerships                   ","27","01","000000","0","1",2638356,2704567,2693529,2685667,168228,169713,167686,168043,31157480333,29824440305,30168642937,31668226581,908,848,861,907,2680530,168418,122818790156,881,123959,213250,125977,139601,220577,92208,178474,106437,117089,152208,31751,34776,19540,22512,68369,185754,124131,163880,178398,269952,151608,97649,140692,151478,195899,34146,26482,23188,26920,74053,3703,2600,2335,3201,9291,24346,13295,12601,11958,60231,3860,5291,4162,4031,14418,19473,17063,15920,13304,65555
"2007","Total, All Industries","000000","00","Minnesota                       ","Total, All Ownerships                   ","27","01","000000","0","1",2626550,2709331,2702520,2715221,166902,168830,168102,168687,29814597872,29370368190,28908660531,31191809586,873,833,822,883,2688406,168130,119285436179,853,124122,234159,133337,163472,259373,89005,196514,105926,137026,172500,35117,37645,27411,26446,86873,182564,122940,163384,166386,239592,149042,94737,144527,136131,168234,33522,28203,18857,30255,71358,4025,3579,3961,3980,13190,27108,19031,16526,16426,75536,3397,4188,2820,3711,11999,19950,17152,11285,15349,61435
"2006","Total, All Industries","000000","00","Minnesota                       ","Total, All Ownerships                   ","27","01","000000","0","1",2620179,2700084,2686662,2700248,171608,173591,169369,170560,28300419247,27672298539,27441273191,29507469314,830,788,785,840,2676793,171282,112921460291,811,130107,234292,136069,167367,263169,100545,207101,116964,139575,190544,29562,27191,19105,27792,72625,182064,129652,185457,170230,262806,152100,99777,145384,139021,164233,29964,29875,40073,31209,98573,3896,3667,2489,2634,11100,25623,18856,10952,13023,66873,3181,3694,5635,2890,13925,22062,19212,27851,16894,82218
"2005","Total, All Industries","000000","00","Minnesota                       ","Total, All Ownerships                   ","27","01","000000","0","1",2554911,2649920,2661977,2682485,161718,167414,169770,170318,25984384237,26196015677,27328292550,28205733742,782,760,789,808,2637323,167305,107714426206,785,120876,220287,167098,179192,297202,97865,182297,134420,148342,203669,23011,37990,32678,30850,93533,193802,120129,152936,173179,249796,150038,105041,134429,160111,183233,43764,15088,18507,13068,66563,2240,2120,3526,4258,10703,16004,11122,22744,22719,70659,5174,1644,2810,2021,10610,28178,7643,13542,9760,61105
"2004","Total, All Industries","000000","00","Minnesota                       ","Total, All Ownerships                   ","27","01","000000","0","1",2525308,2629490,2613231,2642462,158521,160526,160990,162153,25488451541,25370433584,25566261862,28677357718,776,742,752,834,2602623,160548,105102504705,776,127590,242342,147806,166802,284566,95827,196871,113094,140781,190882,31763,45471,34712,26021,93684,190769,109923,179228,161040,240986,148101,88860,143737,132688,155282,42668,21063,35491,28352,85704,2438,3268,4284,3825,11645,19666,17604,26886,17898,78861,3924,2841,3900,2846,10801,26425,14550,20779,13660,73142
"2003","Total, All Industries","000000","00","Minnesota                       ","Total, All Ownerships                   ","27","01","000000","0","1",2526446,2604530,2580614,2600609,156930,158765,158679,159461,24312579086,24464097962,24480752962,26237460566,740,722,729,776,2578050,158459,99494890576,742,127563,240117,139357,160413,270527,93747,184998,111923,135085,169960,33816,55119,27434,25328,100567,199088,139636,168261,170608,280662,160212,110712,143677,136636,188940,38876,28924,24584,33972,91722,2972,5222,3354,3201,12542,25273,32707,18871,16438,89050,3935,2893,3086,2929,10437,24315,21183,14541,13451,73600
"2002","Total, All Industries","000000","00","Minnesota                       ","Total, All Ownerships                   ","27","01","000000","0","1",2534598,2602874,2591195,2610220,154723,157115,157728,157575,23843962105,23838318548,23611265473,25528654954,723,704,700,752,2584722,156785,96822201080,720,140710,241256,146199,163667,284534,99768,191027,120033,140211,181011,40942,50229,26166,23456,103523,215005,141510,163640,176346,289202,163675,112918,143706,143591,190094,51330,28592,19934,32755,99108,3240,5131,3395,3016,12080,27605,28295,17693,14709,87779,4232,3030,2644,2767,10174,34068,21448,12888,13854,85326
"2001","Total, All Industries","000000","00","Minnesota                       ","Total, All Ownerships                   ","27","01","000000","0","1",2578589,2637003,2611752,2619357,155121,155954,157192,157022,23981884920,23626773466,22993520602,24970861781,715,689,677,733,2611675,156322,95573040769,704,141776,229411,147484,178636,281946,105414,190952,117691,138588,183844,36362,38459,29793,40048,98102,203634,150145,189835,193523,321777,161383,124444,161515,152305,225948,42251,25701,28320,41218,95829,3411,2458,2290,4166,10183,27302,18221,19047,28123,87261,4241,2795,2939,3443,11036,28362,17484,15758,22127,80342
