County,People with at least one vaccine dose,People with completed vaccine series,reportedDate,webDate,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region,mif,pop
Aitkin,9553,9072,2/6/2022,2022-02-08,001,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE,15841
Anoka,239932,225237,2/6/2022,2022-02-08,003,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC,344861
Becker,19159,18056,2/6/2022,2022-02-08,005,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC,33552
Beltrami,28201,25981,2/6/2022,2022-02-08,007,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW,45847
Benton,21170,19898,2/6/2022,2022-02-08,009,C,Urban/town/rural mix,EDR 7W- Central,Central,EC,39360
Big Stone,3096,2999,2/6/2022,2022-02-08,011,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,SW,5039
Blue Earth,42761,40177,2/6/2022,2022-02-08,013,D,Entirely urban,EDR 9 - South Central,Southwest,SE,65767
Brown,16417,15697,2/6/2022,2022-02-08,015,B,Town/rural mix,EDR 9 - South Central,Southwest,SE,25243
Carlton,24930,23468,2/6/2022,2022-02-08,017,C,Urban/town/rural mix,EDR 3 - Arrowhead,Northeast,NE,35408
Carver,77487,73224,2/6/2022,2022-02-08,019,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC,98799
Cass,17406,16231,2/6/2022,2022-02-08,021,B,Town/rural mix,EDR 5 - North Central,Northwest,EC,28810
Chippewa,6874,6490,2/6/2022,2022-02-08,023,B,Town/rural mix,EDR 6W- Upper Minnesota Valley,Southwest,SW,12040
Chisago,31879,30203,2/6/2022,2022-02-08,025,D,Entirely urban,EDR 7E- East Central,Central,EC,54297
Clay,38867,35740,2/6/2022,2022-02-08,027,D,Entirely urban,EDR 4 - West Central,Northwest,WC,62040
Clearwater,3651,3421,2/6/2022,2022-02-08,029,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW,8824
Cook,4608,4367,2/6/2022,2022-02-08,031,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE,5270
Cottonwood,6586,6256,2/6/2022,2022-02-08,033,B,Town/rural mix,EDR 8 - Southwest,Southwest,SW,11437
Crow Wing,37356,35158,2/6/2022,2022-02-08,035,B,Town/rural mix,EDR 5 - North Central,Northwest,EC,63505
Dakota,324956,305591,2/6/2022,2022-02-08,037,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC,414655
Dodge,13260,12624,2/6/2022,2022-02-08,039,D,Entirely urban,EDR 10 - Southeast,Southeast,SE,20485
