Year/Month,EDR  3 - Arrowhead              ,EDR  9 - South Central          ,EDR 10 - Southeast              ,EDR  7W- Central                ,EDR  7E- East Central           ,EDR  8 - Southwest              ,EDR  1 - Northwest              ,EDR  4 - West Central           ,EDR  2 - Headwaters             ,EDR  5 - North Central          ,EDR  6W- Upper Minnesota Valley,EDR  6E- Southwest Central      ,EDR 11 - 7 County Twin Cities   
2021 Annual Avg.,159241,128614,281472,235889,86232,61837,44923,127515,43817,82582,21939,63999,1686776
2020 Annual Avg.,160127,133233,286002,240235,87634,63606,46040,127580,43611,83918,23077,65011,1715402
2019 Annual Avg.,165413,134894,288108,242213,88590,65172,47457,129331,44233,85528,23766,67428,1731543
2018 Annual Avg.,163057,132823,283416,237924,87368,64147,46968,126936,43148,83645,23348,66251,1711198
2017 Annual Avg.,163687,132638,282049,237332,87210,64429,47415,126766,42816,83538,23419,66462,1699266
2016 Annual Avg.,164530,132745,281883,235177,86610,65928,48325,126716,43075,83242,23878,65824,1675478
2015 Annual Avg.,163651,132281,278869,231134,85146,66484,48822,126148,42502,82642,24133,66186,1649759
2014 Annual Avg.,163754,129669,276399,229814,84951,64988,48296,124336,42037,81809,23496,64558,1638705
2013 Annual Avg.,163998,130610,277839,227472,85027,64840,47923,123580,41803,82117,23604,64470,1625317
2012 Annual Avg.,163766,131920,277984,226373,85218,65746,48803,123926,41614,81962,24507,64587,1609964
