countyfp,sex,year,Emp,Name,Dem_RUCA,Dem_Desc,edr,planning.region,mif
001,1,2010,1643,Aitkin,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
001,1,2011,1654,Aitkin,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
001,1,2012,1605,Aitkin,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
001,1,2013,1640,Aitkin,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
001,1,2014,1648,Aitkin,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
001,1,2015,1670,Aitkin,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
001,1,2016,1761,Aitkin,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
001,1,2017,1852,Aitkin,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
001,1,2018,1869,Aitkin,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
001,1,2019,1903,Aitkin,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
001,1,2020,1853,Aitkin,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
001,1,2021,1844,Aitkin,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
001,2,2010,2178,Aitkin,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
001,2,2011,2095,Aitkin,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
001,2,2012,2035,Aitkin,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
001,2,2013,2065,Aitkin,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
001,2,2014,2128,Aitkin,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
001,2,2015,2112,Aitkin,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
001,2,2016,2109,Aitkin,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
001,2,2017,2154,Aitkin,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
001,2,2018,2238,Aitkin,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
001,2,2019,2326,Aitkin,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
001,2,2020,2191,Aitkin,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
001,2,2021,2163,Aitkin,A,Entirely rural,EDR 3 - Arrowhead,Northeast,NE
003,1,2010,55900,Anoka,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
003,1,2011,58517,Anoka,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
003,1,2012,60917,Anoka,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
003,1,2013,61440,Anoka,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
003,1,2014,63014,Anoka,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
003,1,2015,64318,Anoka,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
003,1,2016,64946,Anoka,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
003,1,2017,66296,Anoka,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
003,1,2018,69620,Anoka,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
003,1,2019,71144,Anoka,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
003,1,2020,67259,Anoka,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
003,1,2021,65920,Anoka,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
003,2,2010,53049,Anoka,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
003,2,2011,54037,Anoka,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
003,2,2012,55033,Anoka,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
003,2,2013,55155,Anoka,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
003,2,2014,56621,Anoka,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
003,2,2015,57029,Anoka,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
003,2,2016,58149,Anoka,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
003,2,2017,58590,Anoka,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
003,2,2018,62464,Anoka,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
003,2,2019,63413,Anoka,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
003,2,2020,59996,Anoka,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
003,2,2021,59578,Anoka,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul,TC
005,1,2010,5786,Becker,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
005,1,2011,6157,Becker,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
005,1,2012,6596,Becker,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
005,1,2013,6420,Becker,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
005,1,2014,6408,Becker,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
005,1,2015,6714,Becker,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
005,1,2016,6508,Becker,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
005,1,2017,6568,Becker,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
005,1,2018,6892,Becker,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
005,1,2019,6783,Becker,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
005,1,2020,6525,Becker,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
005,1,2021,6106,Becker,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
005,2,2010,7011,Becker,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
005,2,2011,6640,Becker,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
005,2,2012,7768,Becker,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
005,2,2013,7620,Becker,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
005,2,2014,7586,Becker,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
005,2,2015,7783,Becker,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
005,2,2016,7739,Becker,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
005,2,2017,7986,Becker,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
005,2,2018,8155,Becker,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
005,2,2019,8064,Becker,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
005,2,2020,7421,Becker,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
005,2,2021,6872,Becker,C,Urban/town/rural mix,EDR 4 - West Central,Northwest,WC
007,1,2010,7846,Beltrami,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
007,1,2011,7837,Beltrami,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
007,1,2012,8068,Beltrami,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
007,1,2013,8303,Beltrami,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
007,1,2014,8539,Beltrami,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
007,1,2015,8630,Beltrami,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
007,1,2016,8864,Beltrami,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
007,1,2017,9028,Beltrami,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
007,1,2018,8978,Beltrami,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
007,1,2019,9222,Beltrami,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
007,1,2020,9256,Beltrami,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
007,1,2021,8882,Beltrami,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
007,2,2010,9549,Beltrami,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
007,2,2011,9448,Beltrami,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
007,2,2012,9948,Beltrami,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
007,2,2013,10104,Beltrami,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
007,2,2014,10412,Beltrami,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
007,2,2015,10533,Beltrami,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
007,2,2016,10630,Beltrami,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
007,2,2017,10312,Beltrami,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
007,2,2018,9112,Beltrami,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
007,2,2019,10528,Beltrami,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
007,2,2020,10809,Beltrami,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
007,2,2021,10270,Beltrami,B,Town/rural mix,EDR 2 - Headwaters,Northwest,NW
009,1,2010,8910,Benton,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
009,1,2011,8889,Benton,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
009,1,2012,9296,Benton,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
009,1,2013,9432,Benton,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
009,1,2014,9764,Benton,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
009,1,2015,9920,Benton,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
009,1,2016,9938,Benton,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
009,1,2017,9852,Benton,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
009,1,2018,10030,Benton,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
009,1,2019,10592,Benton,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
009,1,2020,10373,Benton,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
009,1,2021,9898,Benton,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
009,2,2010,7831,Benton,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
009,2,2011,7940,Benton,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
009,2,2012,8412,Benton,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
009,2,2013,8547,Benton,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
009,2,2014,7849,Benton,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
009,2,2015,8070,Benton,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
009,2,2016,8019,Benton,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
009,2,2017,7912,Benton,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
009,2,2018,7812,Benton,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
009,2,2019,8065,Benton,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
009,2,2020,7826,Benton,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
009,2,2021,7696,Benton,C,Urban/town/rural mix,EDR 7W- Central,Central,EC
011,1,2010,723,Big Stone,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,SW
011,1,2011,696,Big Stone,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,SW
011,1,2012,702,Big Stone,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,SW
011,1,2013,672,Big Stone,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,SW
011,1,2014,705,Big Stone,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,SW
011,1,2015,813,Big Stone,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,SW
011,1,2016,782,Big Stone,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,SW
011,1,2017,742,Big Stone,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,SW
011,1,2018,726,Big Stone,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,SW
011,1,2019,708,Big Stone,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,SW
011,1,2020,702,Big Stone,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,SW
011,1,2021,688,Big Stone,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,SW
011,2,2010,1204,Big Stone,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,SW
011,2,2011,1183,Big Stone,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,SW
011,2,2012,1125,Big Stone,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,SW
011,2,2013,1035,Big Stone,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,SW
011,2,2014,1051,Big Stone,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,SW
011,2,2015,1047,Big Stone,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,SW
011,2,2016,1074,Big Stone,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,SW
011,2,2017,1054,Big Stone,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest,SW
