periodicity,seasonadj,geo_level,geography,ind_level,industry,ownercode,sex,agegrp,race,ethnicity,education,firmage,firmsize,year,quarter,Emp,sEmp
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2010,1,2496929,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2010,1,1197807,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2010,1,1299121,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2010,2,2481149,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2010,2,1189888,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2010,2,1291261,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2010,3,2570470,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2010,3,1264082,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2010,3,1306389,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2010,4,2571305,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2010,4,1265539,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2010,4,1305766,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2011,1,2523686,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2011,1,1223110,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2011,1,1300576,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2011,2,2517903,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2011,2,1221081,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2011,2,1296822,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2011,3,2605323,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2011,3,1290808,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2011,3,1314515,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2011,4,2610090,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2011,4,1292080,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2011,4,1318010,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2012,1,2567118,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2012,1,1250696,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2012,1,1316421,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2012,2,2578045,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2012,2,1255765,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2012,2,1322281,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2012,3,2669109,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2012,3,1325818,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2012,3,1343291,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2012,4,2667286,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2012,4,1322138,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2012,4,1345148,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2013,1,2597817,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2013,1,1267303,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2013,1,1330515,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2013,2,2614682,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2013,2,1274991,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2013,2,1339691,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2013,3,2721687,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2013,3,1354088,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2013,3,1367599,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2013,4,2687523,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2013,4,1333239,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2013,4,1354284,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2014,1,2649467,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2014,1,1294175,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2014,1,1355293,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2014,2,2655922,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2014,2,1300864,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2014,2,1355058,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2014,3,2745151,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2014,3,1369396,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2014,3,1375754,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2014,4,2736858,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2014,4,1361355,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2014,4,1375502,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2015,1,2688212,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2015,1,1319421,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2015,1,1368791,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2015,2,2714229,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2015,2,1332795,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2015,2,1381435,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2015,3,2818116,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2015,3,1410842,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2015,3,1407274,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2015,4,2789834,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2015,4,1391619,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2015,4,1398215,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2016,1,2753656,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2016,1,1350727,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2016,1,1402930,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2016,2,2768589,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2016,2,1358218,1
Q,U,S,27,A,00,A00,2,A00,A0,A0,E0,0,0,2016,2,1410371,1
Q,U,S,27,A,00,A00,0,A00,A0,A0,E0,0,0,2016,3,2855531,1
Q,U,S,27,A,00,A00,1,A00,A0,A0,E0,0,0,2016,3,1425316,1
