year,planning.region,labor.force
2021,Seven County Mpls-St Paul,1686776
2020,Seven County Mpls-St Paul,1715402
2019,Seven County Mpls-St Paul,1731543
2018,Seven County Mpls-St Paul,1711198
2017,Seven County Mpls-St Paul,1699266
2016,Seven County Mpls-St Paul,1675478
2015,Seven County Mpls-St Paul,1649759
2014,Seven County Mpls-St Paul,1638705
2013,Seven County Mpls-St Paul,1625317
2012,Seven County Mpls-St Paul,1609964
2021,Northwest,298837
2020,Northwest,301149
2019,Northwest,306549
2018,Northwest,300697
2017,Northwest,300535
2016,Northwest,301358
2015,Northwest,300114
2014,Northwest,296478
2013,Northwest,295423
2012,Northwest,296305
2021,Northeast,159241
2020,Northeast,160127
2019,Northeast,165413
2018,Northeast,163057
2017,Northeast,163687
2016,Northeast,164530
2015,Northeast,163651
2014,Northeast,163754
2013,Northeast,163998
2012,Northeast,163766
2021,Southeast,281472
2020,Southeast,286002
2019,Southeast,288108
2018,Southeast,283416
2017,Southeast,282049
2016,Southeast,281883
2015,Southeast,278869
2014,Southeast,276399
2013,Southeast,277839
2012,Southeast,277984
2021,Southwest,212390
2020,Southwest,219916
2019,Southwest,223831
2018,Southwest,220318
2017,Southwest,220486
2016,Southwest,222551
2015,Southwest,222898
2014,Southwest,218153
2013,Southwest,219054
2012,Southwest,222173
2021,Central,386120
2020,Central,392880
2019,Central,398230
2018,Central,391543
2017,Central,391004
2016,Central,387611
2015,Central,382466
2014,Central,379323
2013,Central,376969
2012,Central,376178
