Year/Month,edr,labor.force
2020/11,EDR 3 - Arrowhead,155737
2020/10,EDR 3 - Arrowhead,154804
2020/09,EDR 3 - Arrowhead,156716
2020/08,EDR 3 - Arrowhead,160123
2020/07,EDR 3 - Arrowhead,160337
2020/06,EDR 3 - Arrowhead,163039
2020/05,EDR 3 - Arrowhead,161103
2020/04,EDR 3 - Arrowhead,160800
2020/03,EDR 3 - Arrowhead,163131
2020/02,EDR 3 - Arrowhead,164469
2020/01,EDR 3 - Arrowhead,163249
2019/12,EDR 3 - Arrowhead,165335
2019/11,EDR 3 - Arrowhead,166633
2019/10,EDR 3 - Arrowhead,166427
2019/09,EDR 3 - Arrowhead,165919
2019/08,EDR 3 - Arrowhead,165955
2019/07,EDR 3 - Arrowhead,167470
2019/06,EDR 3 - Arrowhead,166032
2019/05,EDR 3 - Arrowhead,164106
2019/04,EDR 3 - Arrowhead,164061
2019/03,EDR 3 - Arrowhead,164527
2019/02,EDR 3 - Arrowhead,164469
2019/01,EDR 3 - Arrowhead,164020
2020/11,EDR 9 - South Central,133872
2020/10,EDR 9 - South Central,133532
2020/09,EDR 9 - South Central,131719
2020/08,EDR 9 - South Central,134319
2020/07,EDR 9 - South Central,136030
2020/06,EDR 9 - South Central,134906
2020/05,EDR 9 - South Central,130857
2020/04,EDR 9 - South Central,131724
2020/03,EDR 9 - South Central,132977
2020/02,EDR 9 - South Central,134014
2020/01,EDR 9 - South Central,133507
2019/12,EDR 9 - South Central,136055
2019/11,EDR 9 - South Central,136599
2019/10,EDR 9 - South Central,138367
2019/09,EDR 9 - South Central,135282
2019/08,EDR 9 - South Central,133515
2019/07,EDR 9 - South Central,135462
2019/06,EDR 9 - South Central,135309
2019/05,EDR 9 - South Central,134515
2019/04,EDR 9 - South Central,134389
2019/03,EDR 9 - South Central,133400
2019/02,EDR 9 - South Central,132964
2019/01,EDR 9 - South Central,132868
2020/11,EDR 10 - Southeast,283865
2020/10,EDR 10 - Southeast,283056
2020/09,EDR 10 - Southeast,283508
2020/08,EDR 10 - Southeast,290015
2020/07,EDR 10 - Southeast,291986
2020/06,EDR 10 - Southeast,290688
2020/05,EDR 10 - Southeast,286081
2020/04,EDR 10 - Southeast,283026
2020/03,EDR 10 - Southeast,285758
2020/02,EDR 10 - Southeast,286186
2020/01,EDR 10 - Southeast,285494
2019/12,EDR 10 - Southeast,288121
2019/11,EDR 10 - Southeast,289160
2019/10,EDR 10 - Southeast,290861
2019/09,EDR 10 - Southeast,288576
2019/08,EDR 10 - Southeast,289246
2019/07,EDR 10 - Southeast,292052
2019/06,EDR 10 - Southeast,290765
2019/05,EDR 10 - Southeast,287425
2019/04,EDR 10 - Southeast,286624
2019/03,EDR 10 - Southeast,286044
2019/02,EDR 10 - Southeast,284540
2019/01,EDR 10 - Southeast,283885
2020/11,EDR 7W- Central,237678
2020/10,EDR 7W- Central,235437
2020/09,EDR 7W- Central,237084
2020/08,EDR 7W- Central,241400
2020/07,EDR 7W- Central,242384
2020/06,EDR 7W- Central,245015
2020/05,EDR 7W- Central,238746
2020/04,EDR 7W- Central,238829
2020/03,EDR 7W- Central,242043
2020/02,EDR 7W- Central,243883
2020/01,EDR 7W- Central,243359
2019/12,EDR 7W- Central,243117
2019/11,EDR 7W- Central,243582
2019/10,EDR 7W- Central,243965
2019/09,EDR 7W- Central,242405
2019/08,EDR 7W- Central,242008
2019/07,EDR 7W- Central,243618
2019/06,EDR 7W- Central,241464
2019/05,EDR 7W- Central,240372
2019/04,EDR 7W- Central,241756
2019/03,EDR 7W- Central,241927
2019/02,EDR 7W- Central,241698
2019/01,EDR 7W- Central,240638
2020/11,EDR 7E- East Central,86398
2020/10,EDR 7E- East Central,85154
2020/09,EDR 7E- East Central,86097
2020/08,EDR 7E- East Central,87774
