Year/Month,planning.region,labor.force
2021/12,Seven County Mpls-St Paul,1682094
2021/11,Seven County Mpls-St Paul,1688609
2021/10,Seven County Mpls-St Paul,1680429
2021/09,Seven County Mpls-St Paul,1691124
2021/08,Seven County Mpls-St Paul,1694835
2021/07,Seven County Mpls-St Paul,1701787
2021/06,Seven County Mpls-St Paul,1702215
2021/05,Seven County Mpls-St Paul,1700874
2021/04,Seven County Mpls-St Paul,1690980
2021/03,Seven County Mpls-St Paul,1677771
2021/02,Seven County Mpls-St Paul,1673120
2021/01,Seven County Mpls-St Paul,1657471
2020/12,Seven County Mpls-St Paul,1667820
2020/11,Seven County Mpls-St Paul,1680348
2020/10,Seven County Mpls-St Paul,1671997
2020/09,Seven County Mpls-St Paul,1710837
2020/08,Seven County Mpls-St Paul,1747997
2020/07,Seven County Mpls-St Paul,1741037
2020/06,Seven County Mpls-St Paul,1754740
2020/05,Seven County Mpls-St Paul,1714399
2020/04,Seven County Mpls-St Paul,1703175
2020/03,Seven County Mpls-St Paul,1725871
2020/02,Seven County Mpls-St Paul,1735645
2020/01,Seven County Mpls-St Paul,1730960
2019/12,Seven County Mpls-St Paul,1731024
2019/11,Seven County Mpls-St Paul,1741909
2019/10,Seven County Mpls-St Paul,1740986
2019/09,Seven County Mpls-St Paul,1739134
2019/08,Seven County Mpls-St Paul,1748584
2019/07,Seven County Mpls-St Paul,1756388
2019/06,Seven County Mpls-St Paul,1740751
2019/05,Seven County Mpls-St Paul,1716848
2019/04,Seven County Mpls-St Paul,1714012
2019/03,Seven County Mpls-St Paul,1719419
2019/02,Seven County Mpls-St Paul,1716744
2019/01,Seven County Mpls-St Paul,1712718
2018/12,Seven County Mpls-St Paul,1713515
2018/11,Seven County Mpls-St Paul,1716152
2018/10,Seven County Mpls-St Paul,1714354
2018/09,Seven County Mpls-St Paul,1711369
2018/08,Seven County Mpls-St Paul,1724459
2018/07,Seven County Mpls-St Paul,1731087
2018/06,Seven County Mpls-St Paul,1719941
2018/05,Seven County Mpls-St Paul,1702176
2018/04,Seven County Mpls-St Paul,1703776
