Year/Month,Seven County Mpls-St Paul - MN   ,Northwest Minnesota             ,Northeast Minnesota             ,Southeast Minnesota             ,Southwest Minnesota             ,Central Minnesota               
2020/11,1681476,302316,155737,283865,221481,389534
2020/10,1671997,300569,154804,283056,222553,386098
2020/09,1710837,298951,156716,283508,217804,387824
2020/08,1747997,304433,160123,290015,222272,395005
2020/07,1741037,307390,160337,291986,226128,396715
2020/06,1754740,303181,163039,290688,222293,398321
2020/05,1714399,296541,161103,286081,215548,388964
2020/04,1703175,299030,160800,283026,216956,390439
2020/03,1725871,298468,163131,285758,217781,395592
2020/02,1735645,300075,164469,286186,219114,398695
2020/01,1730960,299865,163249,285494,218603,398669
2019/12,1731024,308268,165335,288121,225655,400778
2019/11,1741909,307008,166633,289160,225880,399901
2019/10,1740986,309366,166427,290861,229597,400912
2019/09,1739134,307283,165919,288576,224218,397667
2019/08,1748584,307954,165955,289246,221029,397383
2019/07,1756388,312888,167470,292052,226521,400816
2019/06,1740751,311397,166032,290765,226118,397740
2019/05,1716848,307665,164106,287425,224879,395254
2019/04,1714012,303273,164061,286624,223192,397131
2019/03,1719419,301626,164527,286044,220402,397649
2019/02,1716744,300859,164469,284540,219138,397005
2019/01,1712718,301005,164020,283885,219344,396525
